From,To,Strength,Technique,Description,Collator,Reference
Medial preoptic area (MPO),Subthalamic nucleus (STN),very weak,HRP/WGA,Case table1. Soma notes not specified.. Terminal notes WGA-HRP inj.,Gully Burns,"Chiba T, Murata Y. - Afferent and efferent connections of the... (1985) , pp. 261-72"
Medial preoptic nucleus (MPN),Subthalamic nucleus (STN),very weak,HRP/WGA,Case table1. Soma notes not specified.. Terminal notes WGA-HRP inj.,Gully Burns,"Chiba T, Murata Y. - Afferent and efferent connections of the... (1985) , pp. 261-72"
Anterior cingulate area ventral part (ACAv),Subthalamic nucleus (STN),moderate,autoradiography,"Case pg54, fig4. Soma notes 3H A.A. inj.. Terminal notes no fibres in ZI proper.",Gully Burns,"Beckstead RM. - An autoradiographic examination of... (1979) , pp. 43-62"
Medial preoptic nucleus (MPN),Subthalamic nucleus (STN),moderate,HRP/WGA,Case table1. Soma notes WGA-HRP inj. Terminal notes not specified..,Gully Burns,"Chiba T, Murata Y. - Afferent and efferent connections of the... (1985) , pp. 261-72"
Substantia nigra (SN),Subthalamic nucleus (STN),moderate,HRP/WGA,"Case pg288, fig 2. Soma notes not specified.. Terminal notes WGA-HRP inj.",Gully Burns,"Gerfen CR, Staines... - Crossed connections of the substantia... (1982) , pp. 283-303"
Substantia nigra (SN),Subthalamic nucleus (STN),moderate,Cholera toxin conjugated to HRP,"Case pg616, fig6. Soma notes not specified.. Terminal notes CT inj into caudal half.",Gully Burns,"Groenewegen HJ,... - Connections of the subthalamic nucleus... (1990) , pp. 607-22"
Bed nuclei of the stria terminalis juxtacapsular nucleus (BSTju),Subthalamic nucleus (STN),weak,PHAL,"The subthalamic nucleus,located just ventrolateral to the lateral hypothalamic area, also contains a few bouton-laden fibers (Fig. 4N).",Mihail Bota,"Dong H., Petrovich... - Organization of projections from the... (2000) , pp. 1-14"
Medial preoptic area (MPO),Subthalamic nucleus (STN),weak,HRP/WGA,Case table1. Soma notes WGA-HRP inj. Terminal notes not specified..,Gully Burns,"Chiba T, Murata Y. - Afferent and efferent connections of the... (1985) , pp. 261-72"
Primary motor area (MOp),Subthalamic nucleus (STN),weak,autoradiography,"Case pg216, fig8. Soma notes Inj Site ([3H]leucine) in brain 84003 affects AGl with little or no encroachment on AGm. Terminal notes Ipsilateral label is ?light in the zona incerta and the subtalamic nuclei.",Gully Burns,"Reep RL, Corwin JV,... - Efferent connections of the rostral... (1987) , pp. 203-21"
Ventral tegmental area (VTA),Subthalamic nucleus (STN),weak,Cholera toxin conjugated to HRP,"Case pg615, fig6. Soma notes not specified.. Terminal notes CT inj into VTA, with minor inclusion of medial SN.",Gully Burns,"Groenewegen HJ,... - Connections of the subthalamic nucleus... (1990) , pp. 607-22"
Medial preoptic area (MPO),Subthalamic nucleus (STN),very weak,HRP/WGA,Case table1. Soma notes not specified.. Terminal notes WGA-HRP inj.,Gully Burns,"Chiba T, Murata Y. - Afferent and efferent connections of the... (1985) , pp. 261-72"
Medial preoptic nucleus (MPN),Subthalamic nucleus (STN),very weak,HRP/WGA,Case table1. Soma notes not specified.. Terminal notes WGA-HRP inj.,Gully Burns,"Chiba T, Murata Y. - Afferent and efferent connections of the... (1985) , pp. 261-72"
Anterior cingulate area ventral part (ACAv),Subthalamic nucleus (STN),moderate,autoradiography,"Case pg54, fig4. Soma notes 3H A.A. inj.. Terminal notes no fibres in ZI proper.",Gully Burns,"Beckstead RM. - An autoradiographic examination of... (1979) , pp. 43-62"
Medial preoptic nucleus (MPN),Subthalamic nucleus (STN),moderate,HRP/WGA,Case table1. Soma notes WGA-HRP inj. Terminal notes not specified..,Gully Burns,"Chiba T, Murata Y. - Afferent and efferent connections of the... (1985) , pp. 261-72"
Substantia nigra (SN),Subthalamic nucleus (STN),moderate,HRP/WGA,"Case pg288, fig 2. Soma notes not specified.. Terminal notes WGA-HRP inj.",Gully Burns,"Gerfen CR, Staines... - Crossed connections of the substantia... (1982) , pp. 283-303"
Substantia nigra (SN),Subthalamic nucleus (STN),moderate,Cholera toxin conjugated to HRP,"Case pg616, fig6. Soma notes not specified.. Terminal notes CT inj into caudal half.",Gully Burns,"Groenewegen HJ,... - Connections of the subthalamic nucleus... (1990) , pp. 607-22"
Bed nuclei of the stria terminalis juxtacapsular nucleus (BSTju),Subthalamic nucleus (STN),weak,PHAL,"The subthalamic nucleus,located just ventrolateral to the lateral hypothalamic area, also contains a few bouton-laden fibers (Fig. 4N).",Mihail Bota,"Dong H., Petrovich... - Organization of projections from the... (2000) , pp. 1-14"
Medial preoptic area (MPO),Subthalamic nucleus (STN),weak,HRP/WGA,Case table1. Soma notes WGA-HRP inj. Terminal notes not specified..,Gully Burns,"Chiba T, Murata Y. - Afferent and efferent connections of the... (1985) , pp. 261-72"
Primary motor area (MOp),Subthalamic nucleus (STN),weak,autoradiography,"Case pg216, fig8. Soma notes Inj Site ([3H]leucine) in brain 84003 affects AGl with little or no encroachment on AGm. Terminal notes Ipsilateral label is ?light in the zona incerta and the subtalamic nuclei.",Gully Burns,"Reep RL, Corwin JV,... - Efferent connections of the rostral... (1987) , pp. 203-21"
Ventral tegmental area (VTA),Subthalamic nucleus (STN),weak,Cholera toxin conjugated to HRP,"Case pg615, fig6. Soma notes not specified.. Terminal notes CT inj into VTA, with minor inclusion of medial SN.",Gully Burns,"Groenewegen HJ,... - Connections of the subthalamic nucleus... (1990) , pp. 607-22"
Medial preoptic area (MPO),Subthalamic nucleus (STN),very weak,HRP/WGA,Case table1. Soma notes not specified.. Terminal notes WGA-HRP inj.,Gully Burns,"Chiba T, Murata Y. - Afferent and efferent connections of the... (1985) , pp. 261-72"
Medial preoptic nucleus (MPN),Subthalamic nucleus (STN),very weak,HRP/WGA,Case table1. Soma notes not specified.. Terminal notes WGA-HRP inj.,Gully Burns,"Chiba T, Murata Y. - Afferent and efferent connections of the... (1985) , pp. 261-72"
Anterior cingulate area ventral part (ACAv),Subthalamic nucleus (STN),moderate,autoradiography,"Case pg54, fig4. Soma notes 3H A.A. inj.. Terminal notes no fibres in ZI proper.",Gully Burns,"Beckstead RM. - An autoradiographic examination of... (1979) , pp. 43-62"
Medial preoptic nucleus (MPN),Subthalamic nucleus (STN),moderate,HRP/WGA,Case table1. Soma notes WGA-HRP inj. Terminal notes not specified..,Gully Burns,"Chiba T, Murata Y. - Afferent and efferent connections of the... (1985) , pp. 261-72"
Substantia nigra (SN),Subthalamic nucleus (STN),moderate,HRP/WGA,"Case pg288, fig 2. Soma notes not specified.. Terminal notes WGA-HRP inj.",Gully Burns,"Gerfen CR, Staines... - Crossed connections of the substantia... (1982) , pp. 283-303"
Substantia nigra (SN),Subthalamic nucleus (STN),moderate,Cholera toxin conjugated to HRP,"Case pg616, fig6. Soma notes not specified.. Terminal notes CT inj into caudal half.",Gully Burns,"Groenewegen HJ,... - Connections of the subthalamic nucleus... (1990) , pp. 607-22"
Bed nuclei of the stria terminalis juxtacapsular nucleus (BSTju),Subthalamic nucleus (STN),weak,PHAL,"The subthalamic nucleus,located just ventrolateral to the lateral hypothalamic area, also contains a few bouton-laden fibers (Fig. 4N).",Mihail Bota,"Dong H., Petrovich... - Organization of projections from the... (2000) , pp. 1-14"
Medial preoptic area (MPO),Subthalamic nucleus (STN),weak,HRP/WGA,Case table1. Soma notes WGA-HRP inj. Terminal notes not specified..,Gully Burns,"Chiba T, Murata Y. - Afferent and efferent connections of the... (1985) , pp. 261-72"
Primary motor area (MOp),Subthalamic nucleus (STN),weak,autoradiography,"Case pg216, fig8. Soma notes Inj Site ([3H]leucine) in brain 84003 affects AGl with little or no encroachment on AGm. Terminal notes Ipsilateral label is ?light in the zona incerta and the subtalamic nuclei.",Gully Burns,"Reep RL, Corwin JV,... - Efferent connections of the rostral... (1987) , pp. 203-21"
Ventral tegmental area (VTA),Subthalamic nucleus (STN),weak,Cholera toxin conjugated to HRP,"Case pg615, fig6. Soma notes not specified.. Terminal notes CT inj into VTA, with minor inclusion of medial SN.",Gully Burns,"Groenewegen HJ,... - Connections of the subthalamic nucleus... (1990) , pp. 607-22"
Medial preoptic area (MPO),Subthalamic nucleus (STN),very weak,HRP/WGA,Case table1. Soma notes not specified.. Terminal notes WGA-HRP inj.,Gully Burns,"Chiba T, Murata Y. - Afferent and efferent connections of the... (1985) , pp. 261-72"
Medial preoptic nucleus (MPN),Subthalamic nucleus (STN),very weak,HRP/WGA,Case table1. Soma notes not specified.. Terminal notes WGA-HRP inj.,Gully Burns,"Chiba T, Murata Y. - Afferent and efferent connections of the... (1985) , pp. 261-72"
