From,To,Strength,Technique,Description,Collator,Reference
Secondary motor area (MOs),Globus pallidus lateral segment (GPl),weak,radioactive aminoacids,"Collator note: few labeled terminals from the CP are found in the dorsal part of the GPl. See Fig. 3D, Swanson Atlas Levels 23-24.",Mihail Bota,"Reep RL, Corwin JV,... - Efferent connections of the rostral... (1987) , pp. 203-21"
Bed nuclei of the stria terminalis oval nucleus (BSTov),Globus pallidus lateral segment (GPl),very weak,PHAL,Collator note,Mihail Bota,"Dong HW, Petrovich... - Basic organization of projections from... (2001) , pp. 430-55"
Central nucleus of amygdala lateral part (CEAl),Globus pallidus lateral segment (GPl),very weak,PHAL,"[...] a few axons were also noted consistently in the internal capsule (Fig. 2C-G); rostrally they appear to enter the lateral segment of the globus pallidus, although there is little branching and few boutons.",Mihail Bota,"Petrovich G.D.,... - Projections from the lateral part of the... (1997) , pp. 247-54"
Nucleus accumbens (ACB),Globus pallidus lateral segment (GPl),exists,autoradiography,none provided,Larry Swanson,"Swanson L.W, Cowan... - A note on the connections and... (1975) , pp. 324-30"
Anterior hypothalamic central part (AHNc),Globus pallidus lateral segment (GPl),does not exist,PHAL,"Collator note: AHNc does not project to this region, because all of the atlas levels were inspected and no label was found.",Mihail Bota,"Risold P.Y.,... - Organization of projections from the... (1994) , pp. 1-40"
Anterior hypothalamic nucleus anterior part (AHNa),Globus pallidus lateral segment (GPl),does not exist,PHAL,"Collator note: AHNa does not project to this region, because all of the atlas levels were inspected and no label was found.",Mihail Bota,"Risold P.Y.,... - Organization of projections from the... (1994) , pp. 1-40"
Anterior hypothalamic posterior part (AHNp),Globus pallidus lateral segment (GPl),does not exist,PHAL,"Collator note: AHNp does not project to this region, because all of the atlas levels were inspected and no label was found.",Mihail Bota,"Risold P.Y.,... - Organization of projections from the... (1994) , pp. 1-40"
Prelimbic area (PL),Globus pallidus lateral segment (GPl),moderate,PHAL,"Collator note: a band of fibers originating from internal capsule travels ventrally and leaves terminal fields in the lateral (external) globus pallidus, in BSTrh (at least, possibly in the posterior division, too), and ends in the NDB. LPO is also a reci",Mihail Bota,"Sesack SR, Deutch... - Topographical organization of the... (1989) , pp. 213-42"
Primary motor area (MOp),Globus pallidus lateral segment (GPl),moderate,radioactive aminoacids,"Collator note: labeling in the center of the GP, rostrally. See Fig. 8 F-G, Swanson Atlas Levels 23-26.",Mihail Bota,"Reep RL, Corwin JV,... - Efferent connections of the rostral... (1987) , pp. 203-21"
Bed nuclei of the stria terminalis anterior division fusiform nucleus (BSTfu),Globus pallidus lateral segment (GPl),weak,PHAL,"Collator note: Atlas level 22, Swanson 1998. Fibers of passage are present. Figure 6J from the paper.",Mihail Bota,"Dong HW, Petrovich... - Basic organization of projections from... (2001) , pp. 430-55"
Secondary motor area (MOs),Globus pallidus lateral segment (GPl),weak,radioactive aminoacids,"Collator note: few labeled terminals from the CP are found in the dorsal part of the GPl. See Fig. 3D, Swanson Atlas Levels 23-24.",Mihail Bota,"Reep RL, Corwin JV,... - Efferent connections of the rostral... (1987) , pp. 203-21"
Bed nuclei of the stria terminalis oval nucleus (BSTov),Globus pallidus lateral segment (GPl),very weak,PHAL,Collator note,Mihail Bota,"Dong HW, Petrovich... - Basic organization of projections from... (2001) , pp. 430-55"
Central nucleus of amygdala lateral part (CEAl),Globus pallidus lateral segment (GPl),very weak,PHAL,"[...] a few axons were also noted consistently in the internal capsule (Fig. 2C-G); rostrally they appear to enter the lateral segment of the globus pallidus, although there is little branching and few boutons.",Mihail Bota,"Petrovich G.D.,... - Projections from the lateral part of the... (1997) , pp. 247-54"
Nucleus accumbens (ACB),Globus pallidus lateral segment (GPl),exists,autoradiography,none provided,Larry Swanson,"Swanson L.W, Cowan... - A note on the connections and... (1975) , pp. 324-30"
Anterior hypothalamic central part (AHNc),Globus pallidus lateral segment (GPl),does not exist,PHAL,"Collator note: AHNc does not project to this region, because all of the atlas levels were inspected and no label was found.",Mihail Bota,"Risold P.Y.,... - Organization of projections from the... (1994) , pp. 1-40"
Anterior hypothalamic nucleus anterior part (AHNa),Globus pallidus lateral segment (GPl),does not exist,PHAL,"Collator note: AHNa does not project to this region, because all of the atlas levels were inspected and no label was found.",Mihail Bota,"Risold P.Y.,... - Organization of projections from the... (1994) , pp. 1-40"
Anterior hypothalamic posterior part (AHNp),Globus pallidus lateral segment (GPl),does not exist,PHAL,"Collator note: AHNp does not project to this region, because all of the atlas levels were inspected and no label was found.",Mihail Bota,"Risold P.Y.,... - Organization of projections from the... (1994) , pp. 1-40"
Prelimbic area (PL),Globus pallidus lateral segment (GPl),moderate,PHAL,"Collator note: a band of fibers originating from internal capsule travels ventrally and leaves terminal fields in the lateral (external) globus pallidus, in BSTrh (at least, possibly in the posterior division, too), and ends in the NDB. LPO is also a reci",Mihail Bota,"Sesack SR, Deutch... - Topographical organization of the... (1989) , pp. 213-42"
Primary motor area (MOp),Globus pallidus lateral segment (GPl),moderate,radioactive aminoacids,"Collator note: labeling in the center of the GP, rostrally. See Fig. 8 F-G, Swanson Atlas Levels 23-26.",Mihail Bota,"Reep RL, Corwin JV,... - Efferent connections of the rostral... (1987) , pp. 203-21"
Bed nuclei of the stria terminalis anterior division fusiform nucleus (BSTfu),Globus pallidus lateral segment (GPl),weak,PHAL,"Collator note: Atlas level 22, Swanson 1998. Fibers of passage are present. Figure 6J from the paper.",Mihail Bota,"Dong HW, Petrovich... - Basic organization of projections from... (2001) , pp. 430-55"
Secondary motor area (MOs),Globus pallidus lateral segment (GPl),weak,radioactive aminoacids,"Collator note: few labeled terminals from the CP are found in the dorsal part of the GPl. See Fig. 3D, Swanson Atlas Levels 23-24.",Mihail Bota,"Reep RL, Corwin JV,... - Efferent connections of the rostral... (1987) , pp. 203-21"
Bed nuclei of the stria terminalis oval nucleus (BSTov),Globus pallidus lateral segment (GPl),very weak,PHAL,Collator note,Mihail Bota,"Dong HW, Petrovich... - Basic organization of projections from... (2001) , pp. 430-55"
Central nucleus of amygdala lateral part (CEAl),Globus pallidus lateral segment (GPl),very weak,PHAL,"[...] a few axons were also noted consistently in the internal capsule (Fig. 2C-G); rostrally they appear to enter the lateral segment of the globus pallidus, although there is little branching and few boutons.",Mihail Bota,"Petrovich G.D.,... - Projections from the lateral part of the... (1997) , pp. 247-54"
Nucleus accumbens (ACB),Globus pallidus lateral segment (GPl),exists,autoradiography,none provided,Larry Swanson,"Swanson L.W, Cowan... - A note on the connections and... (1975) , pp. 324-30"
Anterior hypothalamic central part (AHNc),Globus pallidus lateral segment (GPl),does not exist,PHAL,"Collator note: AHNc does not project to this region, because all of the atlas levels were inspected and no label was found.",Mihail Bota,"Risold P.Y.,... - Organization of projections from the... (1994) , pp. 1-40"
Anterior hypothalamic nucleus anterior part (AHNa),Globus pallidus lateral segment (GPl),does not exist,PHAL,"Collator note: AHNa does not project to this region, because all of the atlas levels were inspected and no label was found.",Mihail Bota,"Risold P.Y.,... - Organization of projections from the... (1994) , pp. 1-40"
Anterior hypothalamic posterior part (AHNp),Globus pallidus lateral segment (GPl),does not exist,PHAL,"Collator note: AHNp does not project to this region, because all of the atlas levels were inspected and no label was found.",Mihail Bota,"Risold P.Y.,... - Organization of projections from the... (1994) , pp. 1-40"
Prelimbic area (PL),Globus pallidus lateral segment (GPl),moderate,PHAL,"Collator note: a band of fibers originating from internal capsule travels ventrally and leaves terminal fields in the lateral (external) globus pallidus, in BSTrh (at least, possibly in the posterior division, too), and ends in the NDB. LPO is also a reci",Mihail Bota,"Sesack SR, Deutch... - Topographical organization of the... (1989) , pp. 213-42"
Primary motor area (MOp),Globus pallidus lateral segment (GPl),moderate,radioactive aminoacids,"Collator note: labeling in the center of the GP, rostrally. See Fig. 8 F-G, Swanson Atlas Levels 23-26.",Mihail Bota,"Reep RL, Corwin JV,... - Efferent connections of the rostral... (1987) , pp. 203-21"
Bed nuclei of the stria terminalis anterior division fusiform nucleus (BSTfu),Globus pallidus lateral segment (GPl),weak,PHAL,"Collator note: Atlas level 22, Swanson 1998. Fibers of passage are present. Figure 6J from the paper.",Mihail Bota,"Dong HW, Petrovich... - Basic organization of projections from... (2001) , pp. 430-55"
Secondary motor area (MOs),Globus pallidus lateral segment (GPl),weak,radioactive aminoacids,"Collator note: few labeled terminals from the CP are found in the dorsal part of the GPl. See Fig. 3D, Swanson Atlas Levels 23-24.",Mihail Bota,"Reep RL, Corwin JV,... - Efferent connections of the rostral... (1987) , pp. 203-21"
Bed nuclei of the stria terminalis oval nucleus (BSTov),Globus pallidus lateral segment (GPl),very weak,PHAL,Collator note,Mihail Bota,"Dong HW, Petrovich... - Basic organization of projections from... (2001) , pp. 430-55"
Central nucleus of amygdala lateral part (CEAl),Globus pallidus lateral segment (GPl),very weak,PHAL,"[...] a few axons were also noted consistently in the internal capsule (Fig. 2C-G); rostrally they appear to enter the lateral segment of the globus pallidus, although there is little branching and few boutons.",Mihail Bota,"Petrovich G.D.,... - Projections from the lateral part of the... (1997) , pp. 247-54"
Nucleus accumbens (ACB),Globus pallidus lateral segment (GPl),exists,autoradiography,none provided,Larry Swanson,"Swanson L.W, Cowan... - A note on the connections and... (1975) , pp. 324-30"
Anterior hypothalamic central part (AHNc),Globus pallidus lateral segment (GPl),does not exist,PHAL,"Collator note: AHNc does not project to this region, because all of the atlas levels were inspected and no label was found.",Mihail Bota,"Risold P.Y.,... - Organization of projections from the... (1994) , pp. 1-40"
Anterior hypothalamic nucleus anterior part (AHNa),Globus pallidus lateral segment (GPl),does not exist,PHAL,"Collator note: AHNa does not project to this region, because all of the atlas levels were inspected and no label was found.",Mihail Bota,"Risold P.Y.,... - Organization of projections from the... (1994) , pp. 1-40"
Anterior hypothalamic posterior part (AHNp),Globus pallidus lateral segment (GPl),does not exist,PHAL,"Collator note: AHNp does not project to this region, because all of the atlas levels were inspected and no label was found.",Mihail Bota,"Risold P.Y.,... - Organization of projections from the... (1994) , pp. 1-40"
