From,To,Strength,Technique,Description,Collator,Reference
Prelimbic area (PL),Magnocellular preoptic nucleus (MA),moderate/weak,PHAL,"Collator note:fibers traveling in MS, NDB, and possibly MA. See fig 4E, page 229, which roughly corresponds to Swanson Atlas Level 16.",Mihail Bota,"Sesack SR, Deutch... - Topographical organization of the... (1989) , pp. 213-42"
Prelimbic area (PL),Magnocellular preoptic nucleus (MA),moderate/weak,radioactive aminoacids,"Collator note: Fig 2C, Swanson Atlas Levels 14-15.",Mihail Bota,"Beckstead RM. - An autoradiographic examination of... (1979) , pp. 43-62"
"Bed nuclei of the stria terminalis, anterior division, subcommisural zone (BSTsc)",Magnocellular preoptic nucleus (MA),very weak,PHAL,None provided.,Hong-Wei Dong,Dong H-W & Swanson... - Organization of axonal projections from... (2003)
Bed nuclei of the stria terminalis anterolateral area (BSTal),Magnocellular preoptic nucleus (MA),very weak,PHAL,None provided.,Hong-Wei Dong,Dong H-W & Swanson... - Organization of axonal projections from... (2003)
Lateral hypothalamic area (LHA),Magnocellular preoptic nucleus (MA),exists,autoradiography,posterior or mammillary part of LHA,Larry Swanson,"Saper C.B., Swanson... - An autoradiographic study of the... (1979) , pp. 689-706"
Magnocellular preoptic nucleus (MA),Magnocellular preoptic nucleus (MA),exists,autoradiography,contralateral; earlier: Price & Powell 1970,Larry Swanson,"Swanson L.W. - An autoradiographic study of the... (1976) , pp. 227-56"
Retina (R),Magnocellular preoptic nucleus (MA),exists,Cholera toxin conjugated to HRP,Case pg352. Soma notes 36 female Sprague-Dawley rats weighing 200-350g. 10 microliters of CT-HRP(.20%-.40%) were injected into one eye ?behind the lens into the vitreous chamber of the eye. pressure injection over 1 min. Terminal notes terminal label at these more caudal levels continued to be evident in the magnocellular preoptic nucleus as well..,Gully Burns,"Levine JD, Weiss ML,... - Retinohypothalamic tract in the female... (1991) , pp. 344-60"
Septohippocampal nucleus (SH),Magnocellular preoptic nucleus (MA),exists,PHAL,none provided,Larry Swanson,"Risold P.Y., Swanson... - Connections of the lateral septal... (1997) , pp. 115-195"
Substantia innominata (SI),Magnocellular preoptic nucleus (MA),exists,PHAL,none provided,Larry Swanson,"Mogenson G.J.,... - Evidence that projections from... (1985) , pp. 65-76"
Bed nuclei of the stria terminalis rhomboid nucleus (BSTrh),Magnocellular preoptic nucleus (MA),strong,PHAL,"...abundant branches with terminal boutons and boutons-of-passage in ventral regions of the substantia innominata and the adjacent magnocellular (preoptic) nucleus (Figs. 2A,4E-K, 5A,B).",Mihail Bota,"Dong H-W., Swanson... - Projections from the rhomboid nucleus of... (2004) , pp. 434-472"
Prelimbic area (PL),Magnocellular preoptic nucleus (MA),moderate/weak,PHAL,"Collator note:fibers traveling in MS, NDB, and possibly MA. See fig 4E, page 229, which roughly corresponds to Swanson Atlas Level 16.",Mihail Bota,"Sesack SR, Deutch... - Topographical organization of the... (1989) , pp. 213-42"
Prelimbic area (PL),Magnocellular preoptic nucleus (MA),moderate/weak,radioactive aminoacids,"Collator note: Fig 2C, Swanson Atlas Levels 14-15.",Mihail Bota,"Beckstead RM. - An autoradiographic examination of... (1979) , pp. 43-62"
"Bed nuclei of the stria terminalis, anterior division, subcommisural zone (BSTsc)",Magnocellular preoptic nucleus (MA),very weak,PHAL,None provided.,Hong-Wei Dong,Dong H-W & Swanson... - Organization of axonal projections from... (2003)
Bed nuclei of the stria terminalis anterolateral area (BSTal),Magnocellular preoptic nucleus (MA),very weak,PHAL,None provided.,Hong-Wei Dong,Dong H-W & Swanson... - Organization of axonal projections from... (2003)
Lateral hypothalamic area (LHA),Magnocellular preoptic nucleus (MA),exists,autoradiography,posterior or mammillary part of LHA,Larry Swanson,"Saper C.B., Swanson... - An autoradiographic study of the... (1979) , pp. 689-706"
Magnocellular preoptic nucleus (MA),Magnocellular preoptic nucleus (MA),exists,autoradiography,contralateral; earlier: Price & Powell 1970,Larry Swanson,"Swanson L.W. - An autoradiographic study of the... (1976) , pp. 227-56"
Retina (R),Magnocellular preoptic nucleus (MA),exists,Cholera toxin conjugated to HRP,Case pg352. Soma notes 36 female Sprague-Dawley rats weighing 200-350g. 10 microliters of CT-HRP(.20%-.40%) were injected into one eye ?behind the lens into the vitreous chamber of the eye. pressure injection over 1 min. Terminal notes terminal label at these more caudal levels continued to be evident in the magnocellular preoptic nucleus as well..,Gully Burns,"Levine JD, Weiss ML,... - Retinohypothalamic tract in the female... (1991) , pp. 344-60"
Septohippocampal nucleus (SH),Magnocellular preoptic nucleus (MA),exists,PHAL,none provided,Larry Swanson,"Risold P.Y., Swanson... - Connections of the lateral septal... (1997) , pp. 115-195"
Substantia innominata (SI),Magnocellular preoptic nucleus (MA),exists,PHAL,none provided,Larry Swanson,"Mogenson G.J.,... - Evidence that projections from... (1985) , pp. 65-76"
Bed nuclei of the stria terminalis rhomboid nucleus (BSTrh),Magnocellular preoptic nucleus (MA),strong,PHAL,"...abundant branches with terminal boutons and boutons-of-passage in ventral regions of the substantia innominata and the adjacent magnocellular (preoptic) nucleus (Figs. 2A,4E-K, 5A,B).",Mihail Bota,"Dong H-W., Swanson... - Projections from the rhomboid nucleus of... (2004) , pp. 434-472"
Prelimbic area (PL),Magnocellular preoptic nucleus (MA),moderate/weak,PHAL,"Collator note:fibers traveling in MS, NDB, and possibly MA. See fig 4E, page 229, which roughly corresponds to Swanson Atlas Level 16.",Mihail Bota,"Sesack SR, Deutch... - Topographical organization of the... (1989) , pp. 213-42"
Prelimbic area (PL),Magnocellular preoptic nucleus (MA),moderate/weak,radioactive aminoacids,"Collator note: Fig 2C, Swanson Atlas Levels 14-15.",Mihail Bota,"Beckstead RM. - An autoradiographic examination of... (1979) , pp. 43-62"
"Bed nuclei of the stria terminalis, anterior division, subcommisural zone (BSTsc)",Magnocellular preoptic nucleus (MA),very weak,PHAL,None provided.,Hong-Wei Dong,Dong H-W & Swanson... - Organization of axonal projections from... (2003)
Bed nuclei of the stria terminalis anterolateral area (BSTal),Magnocellular preoptic nucleus (MA),very weak,PHAL,None provided.,Hong-Wei Dong,Dong H-W & Swanson... - Organization of axonal projections from... (2003)
Lateral hypothalamic area (LHA),Magnocellular preoptic nucleus (MA),exists,autoradiography,posterior or mammillary part of LHA,Larry Swanson,"Saper C.B., Swanson... - An autoradiographic study of the... (1979) , pp. 689-706"
Magnocellular preoptic nucleus (MA),Magnocellular preoptic nucleus (MA),exists,autoradiography,contralateral; earlier: Price & Powell 1970,Larry Swanson,"Swanson L.W. - An autoradiographic study of the... (1976) , pp. 227-56"
Retina (R),Magnocellular preoptic nucleus (MA),exists,Cholera toxin conjugated to HRP,Case pg352. Soma notes 36 female Sprague-Dawley rats weighing 200-350g. 10 microliters of CT-HRP(.20%-.40%) were injected into one eye ?behind the lens into the vitreous chamber of the eye. pressure injection over 1 min. Terminal notes terminal label at these more caudal levels continued to be evident in the magnocellular preoptic nucleus as well..,Gully Burns,"Levine JD, Weiss ML,... - Retinohypothalamic tract in the female... (1991) , pp. 344-60"
Septohippocampal nucleus (SH),Magnocellular preoptic nucleus (MA),exists,PHAL,none provided,Larry Swanson,"Risold P.Y., Swanson... - Connections of the lateral septal... (1997) , pp. 115-195"
Substantia innominata (SI),Magnocellular preoptic nucleus (MA),exists,PHAL,none provided,Larry Swanson,"Mogenson G.J.,... - Evidence that projections from... (1985) , pp. 65-76"
Bed nuclei of the stria terminalis rhomboid nucleus (BSTrh),Magnocellular preoptic nucleus (MA),strong,PHAL,"...abundant branches with terminal boutons and boutons-of-passage in ventral regions of the substantia innominata and the adjacent magnocellular (preoptic) nucleus (Figs. 2A,4E-K, 5A,B).",Mihail Bota,"Dong H-W., Swanson... - Projections from the rhomboid nucleus of... (2004) , pp. 434-472"
Prelimbic area (PL),Magnocellular preoptic nucleus (MA),moderate/weak,PHAL,"Collator note:fibers traveling in MS, NDB, and possibly MA. See fig 4E, page 229, which roughly corresponds to Swanson Atlas Level 16.",Mihail Bota,"Sesack SR, Deutch... - Topographical organization of the... (1989) , pp. 213-42"
Prelimbic area (PL),Magnocellular preoptic nucleus (MA),moderate/weak,radioactive aminoacids,"Collator note: Fig 2C, Swanson Atlas Levels 14-15.",Mihail Bota,"Beckstead RM. - An autoradiographic examination of... (1979) , pp. 43-62"
"Bed nuclei of the stria terminalis, anterior division, subcommisural zone (BSTsc)",Magnocellular preoptic nucleus (MA),very weak,PHAL,None provided.,Hong-Wei Dong,Dong H-W & Swanson... - Organization of axonal projections from... (2003)
Bed nuclei of the stria terminalis anterolateral area (BSTal),Magnocellular preoptic nucleus (MA),very weak,PHAL,None provided.,Hong-Wei Dong,Dong H-W & Swanson... - Organization of axonal projections from... (2003)
Lateral hypothalamic area (LHA),Magnocellular preoptic nucleus (MA),exists,autoradiography,posterior or mammillary part of LHA,Larry Swanson,"Saper C.B., Swanson... - An autoradiographic study of the... (1979) , pp. 689-706"
Magnocellular preoptic nucleus (MA),Magnocellular preoptic nucleus (MA),exists,autoradiography,contralateral; earlier: Price & Powell 1970,Larry Swanson,"Swanson L.W. - An autoradiographic study of the... (1976) , pp. 227-56"
Retina (R),Magnocellular preoptic nucleus (MA),exists,Cholera toxin conjugated to HRP,Case pg352. Soma notes 36 female Sprague-Dawley rats weighing 200-350g. 10 microliters of CT-HRP(.20%-.40%) were injected into one eye ?behind the lens into the vitreous chamber of the eye. pressure injection over 1 min. Terminal notes terminal label at these more caudal levels continued to be evident in the magnocellular preoptic nucleus as well..,Gully Burns,"Levine JD, Weiss ML,... - Retinohypothalamic tract in the female... (1991) , pp. 344-60"
Septohippocampal nucleus (SH),Magnocellular preoptic nucleus (MA),exists,PHAL,none provided,Larry Swanson,"Risold P.Y., Swanson... - Connections of the lateral septal... (1997) , pp. 115-195"
Substantia innominata (SI),Magnocellular preoptic nucleus (MA),exists,PHAL,none provided,Larry Swanson,"Mogenson G.J.,... - Evidence that projections from... (1985) , pp. 65-76"
Bed nuclei of the stria terminalis rhomboid nucleus (BSTrh),Magnocellular preoptic nucleus (MA),strong,PHAL,"...abundant branches with terminal boutons and boutons-of-passage in ventral regions of the substantia innominata and the adjacent magnocellular (preoptic) nucleus (Figs. 2A,4E-K, 5A,B).",Mihail Bota,"Dong H-W., Swanson... - Projections from the rhomboid nucleus of... (2004) , pp. 434-472"
Prelimbic area (PL),Magnocellular preoptic nucleus (MA),moderate/weak,PHAL,"Collator note:fibers traveling in MS, NDB, and possibly MA. See fig 4E, page 229, which roughly corresponds to Swanson Atlas Level 16.",Mihail Bota,"Sesack SR, Deutch... - Topographical organization of the... (1989) , pp. 213-42"
Prelimbic area (PL),Magnocellular preoptic nucleus (MA),moderate/weak,radioactive aminoacids,"Collator note: Fig 2C, Swanson Atlas Levels 14-15.",Mihail Bota,"Beckstead RM. - An autoradiographic examination of... (1979) , pp. 43-62"
"Bed nuclei of the stria terminalis, anterior division, subcommisural zone (BSTsc)",Magnocellular preoptic nucleus (MA),very weak,PHAL,None provided.,Hong-Wei Dong,Dong H-W & Swanson... - Organization of axonal projections from... (2003)
Bed nuclei of the stria terminalis anterolateral area (BSTal),Magnocellular preoptic nucleus (MA),very weak,PHAL,None provided.,Hong-Wei Dong,Dong H-W & Swanson... - Organization of axonal projections from... (2003)
Lateral hypothalamic area (LHA),Magnocellular preoptic nucleus (MA),exists,autoradiography,posterior or mammillary part of LHA,Larry Swanson,"Saper C.B., Swanson... - An autoradiographic study of the... (1979) , pp. 689-706"
Magnocellular preoptic nucleus (MA),Magnocellular preoptic nucleus (MA),exists,autoradiography,contralateral; earlier: Price & Powell 1970,Larry Swanson,"Swanson L.W. - An autoradiographic study of the... (1976) , pp. 227-56"
Retina (R),Magnocellular preoptic nucleus (MA),exists,Cholera toxin conjugated to HRP,Case pg352. Soma notes 36 female Sprague-Dawley rats weighing 200-350g. 10 microliters of CT-HRP(.20%-.40%) were injected into one eye ?behind the lens into the vitreous chamber of the eye. pressure injection over 1 min. Terminal notes terminal label at these more caudal levels continued to be evident in the magnocellular preoptic nucleus as well..,Gully Burns,"Levine JD, Weiss ML,... - Retinohypothalamic tract in the female... (1991) , pp. 344-60"
Septohippocampal nucleus (SH),Magnocellular preoptic nucleus (MA),exists,PHAL,none provided,Larry Swanson,"Risold P.Y., Swanson... - Connections of the lateral septal... (1997) , pp. 115-195"
Substantia innominata (SI),Magnocellular preoptic nucleus (MA),exists,PHAL,none provided,Larry Swanson,"Mogenson G.J.,... - Evidence that projections from... (1985) , pp. 65-76"
