From,To,Strength,Technique,Description,Collator,Reference
Infralimbic area (ILA),Medial septal nucleus (MS),strong,PHAL,"Collator note: see Fig 3A, which roughly corresponds to Swanson Atlas Level 14. The terminal field is oriented dorso-ventral.",Mihail Bota,"Hurley KM, Herbert... - Efferent projections of the infralimbic... (1991) , pp. 409-76"
Lateral hypothalamic area juxtaparaventricular region (LHAjp),Medial septal nucleus (MS),strong,PHAL,"Collator note: data directly collated from the associated paper See Table 1, pages 50-52.",Mihail Bota,"Hahn J.D., & Swanson... - Distinct patterns of neuronal inputs and... (2010) , pp. 14-103"
Lateral hypothalamic area subfornical region anterior zone (LHAsfa),Medial septal nucleus (MS),strong,PHAL,"Collator note: data collated from Table 1, pages 420-422. See the text for terminal field and fibers descriptions.",Mihail Bota,"Goto M., Canteras... - Projections from the subfornical regions... (2005) , pp. 412-438"
Lateral hypothalamic area suprafornical region (LHAs),Medial septal nucleus (MS),strong,PHAL,"Collator note: data directly collated from the associated paper See Table 1, pages 50-52.",Mihail Bota,"Hahn J.D., & Swanson... - Distinct patterns of neuronal inputs and... (2010) , pp. 14-103"
Orbital area medial part (ORBm),Medial septal nucleus (MS),moderate/strong,PHAL,"Collator note: Figures 3G-I, a band of fibers in the medial part of the brain, running parallel with the medial border, dorso-ventrally, but only in the rostral part of the brain. The fibers end into the SI and OT. All regions in these sections appear to",Mihail Bota,"Hoover W.B & Vertes... - Projections of the medial orbital and... (2011) , pp. 3766-3801"
Field CA1 (CA1),Medial septal nucleus (MS),moderate,PHAL,Collator note: observation from Fig 3B Atlas Level 18,Donna Simmons,Cenquizca L.A &... - An Analysis of direct hippocampal... (2005)
Lateral hypothalamic area (LHA),Medial septal nucleus (MS),moderate,PHAL,"Case pg424, fig2. Soma notes PHA-L inj into depressor sites. Terminal notes not specified..",Gully Burns,"Allen GV, Cechetto... - Functional and anatomical organization... (1993) , pp. 421-38"
Nucleus incertus diffuse part (NId),Medial septal nucleus (MS),moderate,PHAL,not provided,Larry Swanson,"Goto M., Swanson... - Connections of the nucleus incertus (2001) , pp. 86-122"
Precommissural nucleus (PRC),Medial septal nucleus (MS),moderate,PHAL,"In the septal region, moderate numbers of anterogradely labeled axons were observed in the nucleus of the diagonal band, medial septal nucleus, and dorsal region of the ventrolateral zone of the rostral part of the lateral septal nucleus (LSr.vl.d; Fig. 5A,B).",Mihail Bota,"Canteras N.S & Goto... - Connections of the precommissural... (1999) , pp. 23-45"
Nucleus incertus compact part (NIc),Medial septal nucleus (MS),very strong,PHAL,earlier: see Segal & Landis BR 82:263 1974 rat retrograde HRP; Vertes Neuroscience 24:907 1988 rat retrograde tracer,Larry Swanson,"Goto M., Swanson... - Connections of the nucleus incertus (2001) , pp. 86-122"
Infralimbic area (ILA),Medial septal nucleus (MS),strong,PHAL,"Collator note: see Fig 3A, which roughly corresponds to Swanson Atlas Level 14. The terminal field is oriented dorso-ventral.",Mihail Bota,"Hurley KM, Herbert... - Efferent projections of the infralimbic... (1991) , pp. 409-76"
Lateral hypothalamic area juxtaparaventricular region (LHAjp),Medial septal nucleus (MS),strong,PHAL,"Collator note: data directly collated from the associated paper See Table 1, pages 50-52.",Mihail Bota,"Hahn J.D., & Swanson... - Distinct patterns of neuronal inputs and... (2010) , pp. 14-103"
Lateral hypothalamic area subfornical region anterior zone (LHAsfa),Medial septal nucleus (MS),strong,PHAL,"Collator note: data collated from Table 1, pages 420-422. See the text for terminal field and fibers descriptions.",Mihail Bota,"Goto M., Canteras... - Projections from the subfornical regions... (2005) , pp. 412-438"
Lateral hypothalamic area suprafornical region (LHAs),Medial septal nucleus (MS),strong,PHAL,"Collator note: data directly collated from the associated paper See Table 1, pages 50-52.",Mihail Bota,"Hahn J.D., & Swanson... - Distinct patterns of neuronal inputs and... (2010) , pp. 14-103"
Orbital area medial part (ORBm),Medial septal nucleus (MS),moderate/strong,PHAL,"Collator note: Figures 3G-I, a band of fibers in the medial part of the brain, running parallel with the medial border, dorso-ventrally, but only in the rostral part of the brain. The fibers end into the SI and OT. All regions in these sections appear to",Mihail Bota,"Hoover W.B & Vertes... - Projections of the medial orbital and... (2011) , pp. 3766-3801"
Field CA1 (CA1),Medial septal nucleus (MS),moderate,PHAL,Collator note: observation from Fig 3B Atlas Level 18,Donna Simmons,Cenquizca L.A &... - An Analysis of direct hippocampal... (2005)
Lateral hypothalamic area (LHA),Medial septal nucleus (MS),moderate,PHAL,"Case pg424, fig2. Soma notes PHA-L inj into depressor sites. Terminal notes not specified..",Gully Burns,"Allen GV, Cechetto... - Functional and anatomical organization... (1993) , pp. 421-38"
Nucleus incertus diffuse part (NId),Medial septal nucleus (MS),moderate,PHAL,not provided,Larry Swanson,"Goto M., Swanson... - Connections of the nucleus incertus (2001) , pp. 86-122"
Precommissural nucleus (PRC),Medial septal nucleus (MS),moderate,PHAL,"In the septal region, moderate numbers of anterogradely labeled axons were observed in the nucleus of the diagonal band, medial septal nucleus, and dorsal region of the ventrolateral zone of the rostral part of the lateral septal nucleus (LSr.vl.d; Fig. 5A,B).",Mihail Bota,"Canteras N.S & Goto... - Connections of the precommissural... (1999) , pp. 23-45"
Nucleus incertus compact part (NIc),Medial septal nucleus (MS),very strong,PHAL,earlier: see Segal & Landis BR 82:263 1974 rat retrograde HRP; Vertes Neuroscience 24:907 1988 rat retrograde tracer,Larry Swanson,"Goto M., Swanson... - Connections of the nucleus incertus (2001) , pp. 86-122"
Infralimbic area (ILA),Medial septal nucleus (MS),strong,PHAL,"Collator note: see Fig 3A, which roughly corresponds to Swanson Atlas Level 14. The terminal field is oriented dorso-ventral.",Mihail Bota,"Hurley KM, Herbert... - Efferent projections of the infralimbic... (1991) , pp. 409-76"
Lateral hypothalamic area juxtaparaventricular region (LHAjp),Medial septal nucleus (MS),strong,PHAL,"Collator note: data directly collated from the associated paper See Table 1, pages 50-52.",Mihail Bota,"Hahn J.D., & Swanson... - Distinct patterns of neuronal inputs and... (2010) , pp. 14-103"
Lateral hypothalamic area subfornical region anterior zone (LHAsfa),Medial septal nucleus (MS),strong,PHAL,"Collator note: data collated from Table 1, pages 420-422. See the text for terminal field and fibers descriptions.",Mihail Bota,"Goto M., Canteras... - Projections from the subfornical regions... (2005) , pp. 412-438"
Lateral hypothalamic area suprafornical region (LHAs),Medial septal nucleus (MS),strong,PHAL,"Collator note: data directly collated from the associated paper See Table 1, pages 50-52.",Mihail Bota,"Hahn J.D., & Swanson... - Distinct patterns of neuronal inputs and... (2010) , pp. 14-103"
Orbital area medial part (ORBm),Medial septal nucleus (MS),moderate/strong,PHAL,"Collator note: Figures 3G-I, a band of fibers in the medial part of the brain, running parallel with the medial border, dorso-ventrally, but only in the rostral part of the brain. The fibers end into the SI and OT. All regions in these sections appear to",Mihail Bota,"Hoover W.B & Vertes... - Projections of the medial orbital and... (2011) , pp. 3766-3801"
Field CA1 (CA1),Medial septal nucleus (MS),moderate,PHAL,Collator note: observation from Fig 3B Atlas Level 18,Donna Simmons,Cenquizca L.A &... - An Analysis of direct hippocampal... (2005)
Lateral hypothalamic area (LHA),Medial septal nucleus (MS),moderate,PHAL,"Case pg424, fig2. Soma notes PHA-L inj into depressor sites. Terminal notes not specified..",Gully Burns,"Allen GV, Cechetto... - Functional and anatomical organization... (1993) , pp. 421-38"
Nucleus incertus diffuse part (NId),Medial septal nucleus (MS),moderate,PHAL,not provided,Larry Swanson,"Goto M., Swanson... - Connections of the nucleus incertus (2001) , pp. 86-122"
Precommissural nucleus (PRC),Medial septal nucleus (MS),moderate,PHAL,"In the septal region, moderate numbers of anterogradely labeled axons were observed in the nucleus of the diagonal band, medial septal nucleus, and dorsal region of the ventrolateral zone of the rostral part of the lateral septal nucleus (LSr.vl.d; Fig. 5A,B).",Mihail Bota,"Canteras N.S & Goto... - Connections of the precommissural... (1999) , pp. 23-45"
Nucleus incertus compact part (NIc),Medial septal nucleus (MS),very strong,PHAL,earlier: see Segal & Landis BR 82:263 1974 rat retrograde HRP; Vertes Neuroscience 24:907 1988 rat retrograde tracer,Larry Swanson,"Goto M., Swanson... - Connections of the nucleus incertus (2001) , pp. 86-122"
Infralimbic area (ILA),Medial septal nucleus (MS),strong,PHAL,"Collator note: see Fig 3A, which roughly corresponds to Swanson Atlas Level 14. The terminal field is oriented dorso-ventral.",Mihail Bota,"Hurley KM, Herbert... - Efferent projections of the infralimbic... (1991) , pp. 409-76"
Lateral hypothalamic area juxtaparaventricular region (LHAjp),Medial septal nucleus (MS),strong,PHAL,"Collator note: data directly collated from the associated paper See Table 1, pages 50-52.",Mihail Bota,"Hahn J.D., & Swanson... - Distinct patterns of neuronal inputs and... (2010) , pp. 14-103"
Lateral hypothalamic area subfornical region anterior zone (LHAsfa),Medial septal nucleus (MS),strong,PHAL,"Collator note: data collated from Table 1, pages 420-422. See the text for terminal field and fibers descriptions.",Mihail Bota,"Goto M., Canteras... - Projections from the subfornical regions... (2005) , pp. 412-438"
Lateral hypothalamic area suprafornical region (LHAs),Medial septal nucleus (MS),strong,PHAL,"Collator note: data directly collated from the associated paper See Table 1, pages 50-52.",Mihail Bota,"Hahn J.D., & Swanson... - Distinct patterns of neuronal inputs and... (2010) , pp. 14-103"
Orbital area medial part (ORBm),Medial septal nucleus (MS),moderate/strong,PHAL,"Collator note: Figures 3G-I, a band of fibers in the medial part of the brain, running parallel with the medial border, dorso-ventrally, but only in the rostral part of the brain. The fibers end into the SI and OT. All regions in these sections appear to",Mihail Bota,"Hoover W.B & Vertes... - Projections of the medial orbital and... (2011) , pp. 3766-3801"
Field CA1 (CA1),Medial septal nucleus (MS),moderate,PHAL,Collator note: observation from Fig 3B Atlas Level 18,Donna Simmons,Cenquizca L.A &... - An Analysis of direct hippocampal... (2005)
Lateral hypothalamic area (LHA),Medial septal nucleus (MS),moderate,PHAL,"Case pg424, fig2. Soma notes PHA-L inj into depressor sites. Terminal notes not specified..",Gully Burns,"Allen GV, Cechetto... - Functional and anatomical organization... (1993) , pp. 421-38"
Nucleus incertus diffuse part (NId),Medial septal nucleus (MS),moderate,PHAL,not provided,Larry Swanson,"Goto M., Swanson... - Connections of the nucleus incertus (2001) , pp. 86-122"
Precommissural nucleus (PRC),Medial septal nucleus (MS),moderate,PHAL,"In the septal region, moderate numbers of anterogradely labeled axons were observed in the nucleus of the diagonal band, medial septal nucleus, and dorsal region of the ventrolateral zone of the rostral part of the lateral septal nucleus (LSr.vl.d; Fig. 5A,B).",Mihail Bota,"Canteras N.S & Goto... - Connections of the precommissural... (1999) , pp. 23-45"
Nucleus incertus compact part (NIc),Medial septal nucleus (MS),very strong,PHAL,earlier: see Segal & Landis BR 82:263 1974 rat retrograde HRP; Vertes Neuroscience 24:907 1988 rat retrograde tracer,Larry Swanson,"Goto M., Swanson... - Connections of the nucleus incertus (2001) , pp. 86-122"
Infralimbic area (ILA),Medial septal nucleus (MS),strong,PHAL,"Collator note: see Fig 3A, which roughly corresponds to Swanson Atlas Level 14. The terminal field is oriented dorso-ventral.",Mihail Bota,"Hurley KM, Herbert... - Efferent projections of the infralimbic... (1991) , pp. 409-76"
Lateral hypothalamic area juxtaparaventricular region (LHAjp),Medial septal nucleus (MS),strong,PHAL,"Collator note: data directly collated from the associated paper See Table 1, pages 50-52.",Mihail Bota,"Hahn J.D., & Swanson... - Distinct patterns of neuronal inputs and... (2010) , pp. 14-103"
Lateral hypothalamic area subfornical region anterior zone (LHAsfa),Medial septal nucleus (MS),strong,PHAL,"Collator note: data collated from Table 1, pages 420-422. See the text for terminal field and fibers descriptions.",Mihail Bota,"Goto M., Canteras... - Projections from the subfornical regions... (2005) , pp. 412-438"
Lateral hypothalamic area suprafornical region (LHAs),Medial septal nucleus (MS),strong,PHAL,"Collator note: data directly collated from the associated paper See Table 1, pages 50-52.",Mihail Bota,"Hahn J.D., & Swanson... - Distinct patterns of neuronal inputs and... (2010) , pp. 14-103"
Orbital area medial part (ORBm),Medial septal nucleus (MS),moderate/strong,PHAL,"Collator note: Figures 3G-I, a band of fibers in the medial part of the brain, running parallel with the medial border, dorso-ventrally, but only in the rostral part of the brain. The fibers end into the SI and OT. All regions in these sections appear to",Mihail Bota,"Hoover W.B & Vertes... - Projections of the medial orbital and... (2011) , pp. 3766-3801"
Field CA1 (CA1),Medial septal nucleus (MS),moderate,PHAL,Collator note: observation from Fig 3B Atlas Level 18,Donna Simmons,Cenquizca L.A &... - An Analysis of direct hippocampal... (2005)
Lateral hypothalamic area (LHA),Medial septal nucleus (MS),moderate,PHAL,"Case pg424, fig2. Soma notes PHA-L inj into depressor sites. Terminal notes not specified..",Gully Burns,"Allen GV, Cechetto... - Functional and anatomical organization... (1993) , pp. 421-38"
Nucleus incertus diffuse part (NId),Medial septal nucleus (MS),moderate,PHAL,not provided,Larry Swanson,"Goto M., Swanson... - Connections of the nucleus incertus (2001) , pp. 86-122"
Precommissural nucleus (PRC),Medial septal nucleus (MS),moderate,PHAL,"In the septal region, moderate numbers of anterogradely labeled axons were observed in the nucleus of the diagonal band, medial septal nucleus, and dorsal region of the ventrolateral zone of the rostral part of the lateral septal nucleus (LSr.vl.d; Fig. 5A,B).",Mihail Bota,"Canteras N.S & Goto... - Connections of the precommissural... (1999) , pp. 23-45"
Nucleus incertus compact part (NIc),Medial septal nucleus (MS),very strong,PHAL,earlier: see Segal & Landis BR 82:263 1974 rat retrograde HRP; Vertes Neuroscience 24:907 1988 rat retrograde tracer,Larry Swanson,"Goto M., Swanson... - Connections of the nucleus incertus (2001) , pp. 86-122"
Infralimbic area (ILA),Medial septal nucleus (MS),strong,PHAL,"Collator note: see Fig 3A, which roughly corresponds to Swanson Atlas Level 14. The terminal field is oriented dorso-ventral.",Mihail Bota,"Hurley KM, Herbert... - Efferent projections of the infralimbic... (1991) , pp. 409-76"
Lateral hypothalamic area juxtaparaventricular region (LHAjp),Medial septal nucleus (MS),strong,PHAL,"Collator note: data directly collated from the associated paper See Table 1, pages 50-52.",Mihail Bota,"Hahn J.D., & Swanson... - Distinct patterns of neuronal inputs and... (2010) , pp. 14-103"
Lateral hypothalamic area subfornical region anterior zone (LHAsfa),Medial septal nucleus (MS),strong,PHAL,"Collator note: data collated from Table 1, pages 420-422. See the text for terminal field and fibers descriptions.",Mihail Bota,"Goto M., Canteras... - Projections from the subfornical regions... (2005) , pp. 412-438"
Lateral hypothalamic area suprafornical region (LHAs),Medial septal nucleus (MS),strong,PHAL,"Collator note: data directly collated from the associated paper See Table 1, pages 50-52.",Mihail Bota,"Hahn J.D., & Swanson... - Distinct patterns of neuronal inputs and... (2010) , pp. 14-103"
Orbital area medial part (ORBm),Medial septal nucleus (MS),moderate/strong,PHAL,"Collator note: Figures 3G-I, a band of fibers in the medial part of the brain, running parallel with the medial border, dorso-ventrally, but only in the rostral part of the brain. The fibers end into the SI and OT. All regions in these sections appear to",Mihail Bota,"Hoover W.B & Vertes... - Projections of the medial orbital and... (2011) , pp. 3766-3801"
Field CA1 (CA1),Medial septal nucleus (MS),moderate,PHAL,Collator note: observation from Fig 3B Atlas Level 18,Donna Simmons,Cenquizca L.A &... - An Analysis of direct hippocampal... (2005)
Lateral hypothalamic area (LHA),Medial septal nucleus (MS),moderate,PHAL,"Case pg424, fig2. Soma notes PHA-L inj into depressor sites. Terminal notes not specified..",Gully Burns,"Allen GV, Cechetto... - Functional and anatomical organization... (1993) , pp. 421-38"
Nucleus incertus diffuse part (NId),Medial septal nucleus (MS),moderate,PHAL,not provided,Larry Swanson,"Goto M., Swanson... - Connections of the nucleus incertus (2001) , pp. 86-122"
Precommissural nucleus (PRC),Medial septal nucleus (MS),moderate,PHAL,"In the septal region, moderate numbers of anterogradely labeled axons were observed in the nucleus of the diagonal band, medial septal nucleus, and dorsal region of the ventrolateral zone of the rostral part of the lateral septal nucleus (LSr.vl.d; Fig. 5A,B).",Mihail Bota,"Canteras N.S & Goto... - Connections of the precommissural... (1999) , pp. 23-45"
Nucleus incertus compact part (NIc),Medial septal nucleus (MS),very strong,PHAL,earlier: see Segal & Landis BR 82:263 1974 rat retrograde HRP; Vertes Neuroscience 24:907 1988 rat retrograde tracer,Larry Swanson,"Goto M., Swanson... - Connections of the nucleus incertus (2001) , pp. 86-122"
Infralimbic area (ILA),Medial septal nucleus (MS),strong,PHAL,"Collator note: see Fig 3A, which roughly corresponds to Swanson Atlas Level 14. The terminal field is oriented dorso-ventral.",Mihail Bota,"Hurley KM, Herbert... - Efferent projections of the infralimbic... (1991) , pp. 409-76"
Lateral hypothalamic area juxtaparaventricular region (LHAjp),Medial septal nucleus (MS),strong,PHAL,"Collator note: data directly collated from the associated paper See Table 1, pages 50-52.",Mihail Bota,"Hahn J.D., & Swanson... - Distinct patterns of neuronal inputs and... (2010) , pp. 14-103"
Lateral hypothalamic area subfornical region anterior zone (LHAsfa),Medial septal nucleus (MS),strong,PHAL,"Collator note: data collated from Table 1, pages 420-422. See the text for terminal field and fibers descriptions.",Mihail Bota,"Goto M., Canteras... - Projections from the subfornical regions... (2005) , pp. 412-438"
Lateral hypothalamic area suprafornical region (LHAs),Medial septal nucleus (MS),strong,PHAL,"Collator note: data directly collated from the associated paper See Table 1, pages 50-52.",Mihail Bota,"Hahn J.D., & Swanson... - Distinct patterns of neuronal inputs and... (2010) , pp. 14-103"
Orbital area medial part (ORBm),Medial septal nucleus (MS),moderate/strong,PHAL,"Collator note: Figures 3G-I, a band of fibers in the medial part of the brain, running parallel with the medial border, dorso-ventrally, but only in the rostral part of the brain. The fibers end into the SI and OT. All regions in these sections appear to",Mihail Bota,"Hoover W.B & Vertes... - Projections of the medial orbital and... (2011) , pp. 3766-3801"
Field CA1 (CA1),Medial septal nucleus (MS),moderate,PHAL,Collator note: observation from Fig 3B Atlas Level 18,Donna Simmons,Cenquizca L.A &... - An Analysis of direct hippocampal... (2005)
Lateral hypothalamic area (LHA),Medial septal nucleus (MS),moderate,PHAL,"Case pg424, fig2. Soma notes PHA-L inj into depressor sites. Terminal notes not specified..",Gully Burns,"Allen GV, Cechetto... - Functional and anatomical organization... (1993) , pp. 421-38"
Nucleus incertus diffuse part (NId),Medial septal nucleus (MS),moderate,PHAL,not provided,Larry Swanson,"Goto M., Swanson... - Connections of the nucleus incertus (2001) , pp. 86-122"
Precommissural nucleus (PRC),Medial septal nucleus (MS),moderate,PHAL,"In the septal region, moderate numbers of anterogradely labeled axons were observed in the nucleus of the diagonal band, medial septal nucleus, and dorsal region of the ventrolateral zone of the rostral part of the lateral septal nucleus (LSr.vl.d; Fig. 5A,B).",Mihail Bota,"Canteras N.S & Goto... - Connections of the precommissural... (1999) , pp. 23-45"
Nucleus incertus compact part (NIc),Medial septal nucleus (MS),very strong,PHAL,earlier: see Segal & Landis BR 82:263 1974 rat retrograde HRP; Vertes Neuroscience 24:907 1988 rat retrograde tracer,Larry Swanson,"Goto M., Swanson... - Connections of the nucleus incertus (2001) , pp. 86-122"
Infralimbic area (ILA),Medial septal nucleus (MS),strong,PHAL,"Collator note: see Fig 3A, which roughly corresponds to Swanson Atlas Level 14. The terminal field is oriented dorso-ventral.",Mihail Bota,"Hurley KM, Herbert... - Efferent projections of the infralimbic... (1991) , pp. 409-76"
Lateral hypothalamic area juxtaparaventricular region (LHAjp),Medial septal nucleus (MS),strong,PHAL,"Collator note: data directly collated from the associated paper See Table 1, pages 50-52.",Mihail Bota,"Hahn J.D., & Swanson... - Distinct patterns of neuronal inputs and... (2010) , pp. 14-103"
Lateral hypothalamic area subfornical region anterior zone (LHAsfa),Medial septal nucleus (MS),strong,PHAL,"Collator note: data collated from Table 1, pages 420-422. See the text for terminal field and fibers descriptions.",Mihail Bota,"Goto M., Canteras... - Projections from the subfornical regions... (2005) , pp. 412-438"
Lateral hypothalamic area suprafornical region (LHAs),Medial septal nucleus (MS),strong,PHAL,"Collator note: data directly collated from the associated paper See Table 1, pages 50-52.",Mihail Bota,"Hahn J.D., & Swanson... - Distinct patterns of neuronal inputs and... (2010) , pp. 14-103"
Orbital area medial part (ORBm),Medial septal nucleus (MS),moderate/strong,PHAL,"Collator note: Figures 3G-I, a band of fibers in the medial part of the brain, running parallel with the medial border, dorso-ventrally, but only in the rostral part of the brain. The fibers end into the SI and OT. All regions in these sections appear to",Mihail Bota,"Hoover W.B & Vertes... - Projections of the medial orbital and... (2011) , pp. 3766-3801"
Field CA1 (CA1),Medial septal nucleus (MS),moderate,PHAL,Collator note: observation from Fig 3B Atlas Level 18,Donna Simmons,Cenquizca L.A &... - An Analysis of direct hippocampal... (2005)
Lateral hypothalamic area (LHA),Medial septal nucleus (MS),moderate,PHAL,"Case pg424, fig2. Soma notes PHA-L inj into depressor sites. Terminal notes not specified..",Gully Burns,"Allen GV, Cechetto... - Functional and anatomical organization... (1993) , pp. 421-38"
Nucleus incertus diffuse part (NId),Medial septal nucleus (MS),moderate,PHAL,not provided,Larry Swanson,"Goto M., Swanson... - Connections of the nucleus incertus (2001) , pp. 86-122"
Precommissural nucleus (PRC),Medial septal nucleus (MS),moderate,PHAL,"In the septal region, moderate numbers of anterogradely labeled axons were observed in the nucleus of the diagonal band, medial septal nucleus, and dorsal region of the ventrolateral zone of the rostral part of the lateral septal nucleus (LSr.vl.d; Fig. 5A,B).",Mihail Bota,"Canteras N.S & Goto... - Connections of the precommissural... (1999) , pp. 23-45"
Nucleus incertus compact part (NIc),Medial septal nucleus (MS),very strong,PHAL,earlier: see Segal & Landis BR 82:263 1974 rat retrograde HRP; Vertes Neuroscience 24:907 1988 rat retrograde tracer,Larry Swanson,"Goto M., Swanson... - Connections of the nucleus incertus (2001) , pp. 86-122"
Infralimbic area (ILA),Medial septal nucleus (MS),strong,PHAL,"Collator note: see Fig 3A, which roughly corresponds to Swanson Atlas Level 14. The terminal field is oriented dorso-ventral.",Mihail Bota,"Hurley KM, Herbert... - Efferent projections of the infralimbic... (1991) , pp. 409-76"
