From,To,Strength,Technique,Description,Collator,Reference
Anterior amygdaloid area (AAA),Main olfactory bulb (MOB),moderate/weak,Fluorogold,a number of retrogradely labeled cells were observed in [] anterior amygdaloid area []. Collator note: difficult to identify the topographical position of the labeled neurons.,Mihail Bota,"Mohedano-Moriano A,... - Centrifugal telencephalic afferent... (2012)"
Anterior amygdaloid area (AAA),"Entorhinal area, lateral part (ENTl)",weak,PHAL,light; throughout dorsoventral axis,Larry Swanson,"Petrovich G.D.,... - Combinatorial amygdalar inputs to... (2001) , pp. 247-89"
Anterior amygdaloid area (AAA),"Entorhinal area, lateral part (ENTl)",weak,Fluorogold,"Collator note: data extracted from Table 1, page 356.",Mihail Bota,"Santiago AC... - Afferent connections of the... (2005) , pp. 349-371"
Anterior amygdaloid area (AAA),"Entorhinal area, lateral part (ENTl)",weak,Fluorogold,"Collator note: data extracted from Table 1, page 356.",Mihail Bota,"Santiago AC... - Afferent connections of the... (2005) , pp. 349-371"
Anterior amygdaloid area (AAA),Bed nuclei of the stria terminalis anterior division anteroventral area (BSTav),moderate,PHAL,none provided,Larry Swanson,"Dong H., Petrovich... - Topography of projections from amygdala... (2001) , pp. 102-246"
Anterior amygdaloid area (AAA),Bed nuclei of the stria terminalis anterior division dorsomedial nucleus (BSTdm),moderate,PHAL,none provided,Larry Swanson,"Dong H., Petrovich... - Topography of projections from amygdala... (2001) , pp. 102-246"
Anterior amygdaloid area (AAA),"Bed nuclei of the stria terminalis, anterior division, subcommisural zone (BSTsc)",moderate,PHAL,none provided,Larry Swanson,"Dong H., Petrovich... - Topography of projections from amygdala... (2001) , pp. 102-246"
Anterior amygdaloid area (AAA),Bed nuclei of the stria terminalis rhomboid nucleus (BSTrh),moderate,PHAL,none provided,Larry Swanson,"Dong H., Petrovich... - Topography of projections from amygdala... (2001) , pp. 102-246"
Anterior amygdaloid area (AAA),Infralimbic area (ILA),moderate,HRP/WGA,"Retrogradely labeled neurons were present in the medial part of BLNp and the anterior amygdaloid area (AAA) (Fig. 5 A-D). Collator note: label in the caudal AAA, and some neurons in the COAa. See Fig 5A, Swanson Atlas Levels 22-23.",Mihail Bota,"Cassell M.D. &... - Topography of projections from the... (1986) , pp. 321-333"
Anterior amygdaloid area (AAA),Postpiriform transition area (TR),moderate,Fluorogold,"Moderate to substantial retrograde labeling was noted in olfactory amygdaloid nuclei including the anterior amygdaloid area (Fig. 3G), anterior cortical, anterior basomedial (Fig. 3G,H), and the posterolateral and posteromedial cortical nuclei (Figs. 3IM, 4A) [...]. Collator note: AAA is at least moderately labeled in the rostral part. See Fig. 3G, Swanson Atlas Levels 23-24.",Mihail Bota,"Santiago AC... - Afferent connections of the... (2005) , pp. 349-371"
Anterior amygdaloid area (AAA),Main olfactory bulb (MOB),moderate/weak,Fluorogold,a number of retrogradely labeled cells were observed in [] anterior amygdaloid area []. Collator note: difficult to identify the topographical position of the labeled neurons.,Mihail Bota,"Mohedano-Moriano A,... - Centrifugal telencephalic afferent... (2012)"
Anterior amygdaloid area (AAA),"Entorhinal area, lateral part (ENTl)",weak,PHAL,light; throughout dorsoventral axis,Larry Swanson,"Petrovich G.D.,... - Combinatorial amygdalar inputs to... (2001) , pp. 247-89"
Anterior amygdaloid area (AAA),"Entorhinal area, lateral part (ENTl)",weak,Fluorogold,"Collator note: data extracted from Table 1, page 356.",Mihail Bota,"Santiago AC... - Afferent connections of the... (2005) , pp. 349-371"
Anterior amygdaloid area (AAA),"Entorhinal area, lateral part (ENTl)",weak,Fluorogold,"Collator note: data extracted from Table 1, page 356.",Mihail Bota,"Santiago AC... - Afferent connections of the... (2005) , pp. 349-371"
