From,To,Strength,Technique,Description,Collator,Reference
Field CA2 (CA2),Triangular nucleus of the septum (TRS),weak,radioactive aminoacids,Collator note: the subcortical targets of CA2 are basically identical with those of CA3,Mihail Bota,"Swanson LW, Cowan... - An autoradiographic study of the... (1977) , pp. 49-84"
Field CA3 (CA3),Triangular nucleus of the septum (TRS),weak,radioactive aminoacids,"Collator note: label of the caudal septal nuclei, extending into the SF and TRS in this level. See Fig. 5B, Swanson Atlas Levels 21-22.",Mihail Bota,"Swanson LW, Cowan... - An autoradiographic study of the... (1977) , pp. 49-84"
Lateral hypothalamic area juxtaparaventricular region (LHAjp),Triangular nucleus of the septum (TRS),weak,PHAL,"Collator note: data directly collated from the associated paper See Table 1, pages 50-52.",Mihail Bota,"Hahn J.D., & Swanson... - Distinct patterns of neuronal inputs and... (2010) , pp. 14-103"
Lateral hypothalamic area suprafornical region (LHAs),Triangular nucleus of the septum (TRS),weak,PHAL,"Collator note: data directly collated from the associated paper See Table 1, pages 50-52.",Mihail Bota,"Hahn J.D., & Swanson... - Distinct patterns of neuronal inputs and... (2010) , pp. 14-103"
Septofimbrial nucleus (SF),Triangular nucleus of the septum (TRS),exists,PHAL,none provided,Larry Swanson,"Risold P.Y., Swanson... - Connections of the lateral septal... (1997) , pp. 115-195"
Anterior hypothalamic central part (AHNc),Triangular nucleus of the septum (TRS),does not exist,PHAL,"Collator note: AHNc does not project to this region, because all of the atlas levels were inspected and no label was found.",Mihail Bota,"Risold P.Y.,... - Organization of projections from the... (1994) , pp. 1-40"
Anterior hypothalamic nucleus anterior part (AHNa),Triangular nucleus of the septum (TRS),does not exist,PHAL,"Collator note: AHNa does not project to this region, because all of the atlas levels were inspected and no label was found.",Mihail Bota,"Risold P.Y.,... - Organization of projections from the... (1994) , pp. 1-40"
Anterior hypothalamic posterior part (AHNp),Triangular nucleus of the septum (TRS),does not exist,PHAL,"Collator note: AHNp does not project to this region, because all of the atlas levels were inspected and no label was found.",Mihail Bota,"Risold P.Y.,... - Organization of projections from the... (1994) , pp. 1-40"
Basomedial nucleus of the amygdala anterior part (BMAa),Triangular nucleus of the septum (TRS),does not exist,PHAL,"Collator note: BMAa does not project to this region, because all of the atlas levels were inspected and no label was found.",Mihail Bota,"Petrovich GD, Risold... - Organization of projections from the... (1996) , pp. 387-420"
Basomedial nucleus of the amygdala posterior part (BMAp),Triangular nucleus of the septum (TRS),does not exist,PHAL,"Collator note: BMAp does not project to this region, because all of the atlas levels were inspected and no label was found.",Mihail Bota,"Petrovich GD, Risold... - Organization of projections from the... (1996) , pp. 387-420"
Field CA2 (CA2),Triangular nucleus of the septum (TRS),weak,radioactive aminoacids,Collator note: the subcortical targets of CA2 are basically identical with those of CA3,Mihail Bota,"Swanson LW, Cowan... - An autoradiographic study of the... (1977) , pp. 49-84"
Field CA3 (CA3),Triangular nucleus of the septum (TRS),weak,radioactive aminoacids,"Collator note: label of the caudal septal nuclei, extending into the SF and TRS in this level. See Fig. 5B, Swanson Atlas Levels 21-22.",Mihail Bota,"Swanson LW, Cowan... - An autoradiographic study of the... (1977) , pp. 49-84"
Lateral hypothalamic area juxtaparaventricular region (LHAjp),Triangular nucleus of the septum (TRS),weak,PHAL,"Collator note: data directly collated from the associated paper See Table 1, pages 50-52.",Mihail Bota,"Hahn J.D., & Swanson... - Distinct patterns of neuronal inputs and... (2010) , pp. 14-103"
Lateral hypothalamic area suprafornical region (LHAs),Triangular nucleus of the septum (TRS),weak,PHAL,"Collator note: data directly collated from the associated paper See Table 1, pages 50-52.",Mihail Bota,"Hahn J.D., & Swanson... - Distinct patterns of neuronal inputs and... (2010) , pp. 14-103"
Septofimbrial nucleus (SF),Triangular nucleus of the septum (TRS),exists,PHAL,none provided,Larry Swanson,"Risold P.Y., Swanson... - Connections of the lateral septal... (1997) , pp. 115-195"
Anterior hypothalamic central part (AHNc),Triangular nucleus of the septum (TRS),does not exist,PHAL,"Collator note: AHNc does not project to this region, because all of the atlas levels were inspected and no label was found.",Mihail Bota,"Risold P.Y.,... - Organization of projections from the... (1994) , pp. 1-40"
Anterior hypothalamic nucleus anterior part (AHNa),Triangular nucleus of the septum (TRS),does not exist,PHAL,"Collator note: AHNa does not project to this region, because all of the atlas levels were inspected and no label was found.",Mihail Bota,"Risold P.Y.,... - Organization of projections from the... (1994) , pp. 1-40"
Anterior hypothalamic posterior part (AHNp),Triangular nucleus of the septum (TRS),does not exist,PHAL,"Collator note: AHNp does not project to this region, because all of the atlas levels were inspected and no label was found.",Mihail Bota,"Risold P.Y.,... - Organization of projections from the... (1994) , pp. 1-40"
Basomedial nucleus of the amygdala anterior part (BMAa),Triangular nucleus of the septum (TRS),does not exist,PHAL,"Collator note: BMAa does not project to this region, because all of the atlas levels were inspected and no label was found.",Mihail Bota,"Petrovich GD, Risold... - Organization of projections from the... (1996) , pp. 387-420"
Basomedial nucleus of the amygdala posterior part (BMAp),Triangular nucleus of the septum (TRS),does not exist,PHAL,"Collator note: BMAp does not project to this region, because all of the atlas levels were inspected and no label was found.",Mihail Bota,"Petrovich GD, Risold... - Organization of projections from the... (1996) , pp. 387-420"
Field CA2 (CA2),Triangular nucleus of the septum (TRS),weak,radioactive aminoacids,Collator note: the subcortical targets of CA2 are basically identical with those of CA3,Mihail Bota,"Swanson LW, Cowan... - An autoradiographic study of the... (1977) , pp. 49-84"
Field CA3 (CA3),Triangular nucleus of the septum (TRS),weak,radioactive aminoacids,"Collator note: label of the caudal septal nuclei, extending into the SF and TRS in this level. See Fig. 5B, Swanson Atlas Levels 21-22.",Mihail Bota,"Swanson LW, Cowan... - An autoradiographic study of the... (1977) , pp. 49-84"
Lateral hypothalamic area juxtaparaventricular region (LHAjp),Triangular nucleus of the septum (TRS),weak,PHAL,"Collator note: data directly collated from the associated paper See Table 1, pages 50-52.",Mihail Bota,"Hahn J.D., & Swanson... - Distinct patterns of neuronal inputs and... (2010) , pp. 14-103"
Lateral hypothalamic area suprafornical region (LHAs),Triangular nucleus of the septum (TRS),weak,PHAL,"Collator note: data directly collated from the associated paper See Table 1, pages 50-52.",Mihail Bota,"Hahn J.D., & Swanson... - Distinct patterns of neuronal inputs and... (2010) , pp. 14-103"
Septofimbrial nucleus (SF),Triangular nucleus of the septum (TRS),exists,PHAL,none provided,Larry Swanson,"Risold P.Y., Swanson... - Connections of the lateral septal... (1997) , pp. 115-195"
Anterior hypothalamic central part (AHNc),Triangular nucleus of the septum (TRS),does not exist,PHAL,"Collator note: AHNc does not project to this region, because all of the atlas levels were inspected and no label was found.",Mihail Bota,"Risold P.Y.,... - Organization of projections from the... (1994) , pp. 1-40"
Anterior hypothalamic nucleus anterior part (AHNa),Triangular nucleus of the septum (TRS),does not exist,PHAL,"Collator note: AHNa does not project to this region, because all of the atlas levels were inspected and no label was found.",Mihail Bota,"Risold P.Y.,... - Organization of projections from the... (1994) , pp. 1-40"
Anterior hypothalamic posterior part (AHNp),Triangular nucleus of the septum (TRS),does not exist,PHAL,"Collator note: AHNp does not project to this region, because all of the atlas levels were inspected and no label was found.",Mihail Bota,"Risold P.Y.,... - Organization of projections from the... (1994) , pp. 1-40"
Basomedial nucleus of the amygdala anterior part (BMAa),Triangular nucleus of the septum (TRS),does not exist,PHAL,"Collator note: BMAa does not project to this region, because all of the atlas levels were inspected and no label was found.",Mihail Bota,"Petrovich GD, Risold... - Organization of projections from the... (1996) , pp. 387-420"
Basomedial nucleus of the amygdala posterior part (BMAp),Triangular nucleus of the septum (TRS),does not exist,PHAL,"Collator note: BMAp does not project to this region, because all of the atlas levels were inspected and no label was found.",Mihail Bota,"Petrovich GD, Risold... - Organization of projections from the... (1996) , pp. 387-420"
Field CA2 (CA2),Triangular nucleus of the septum (TRS),weak,radioactive aminoacids,Collator note: the subcortical targets of CA2 are basically identical with those of CA3,Mihail Bota,"Swanson LW, Cowan... - An autoradiographic study of the... (1977) , pp. 49-84"
Field CA3 (CA3),Triangular nucleus of the septum (TRS),weak,radioactive aminoacids,"Collator note: label of the caudal septal nuclei, extending into the SF and TRS in this level. See Fig. 5B, Swanson Atlas Levels 21-22.",Mihail Bota,"Swanson LW, Cowan... - An autoradiographic study of the... (1977) , pp. 49-84"
Lateral hypothalamic area juxtaparaventricular region (LHAjp),Triangular nucleus of the septum (TRS),weak,PHAL,"Collator note: data directly collated from the associated paper See Table 1, pages 50-52.",Mihail Bota,"Hahn J.D., & Swanson... - Distinct patterns of neuronal inputs and... (2010) , pp. 14-103"
Lateral hypothalamic area suprafornical region (LHAs),Triangular nucleus of the septum (TRS),weak,PHAL,"Collator note: data directly collated from the associated paper See Table 1, pages 50-52.",Mihail Bota,"Hahn J.D., & Swanson... - Distinct patterns of neuronal inputs and... (2010) , pp. 14-103"
Septofimbrial nucleus (SF),Triangular nucleus of the septum (TRS),exists,PHAL,none provided,Larry Swanson,"Risold P.Y., Swanson... - Connections of the lateral septal... (1997) , pp. 115-195"
Anterior hypothalamic central part (AHNc),Triangular nucleus of the septum (TRS),does not exist,PHAL,"Collator note: AHNc does not project to this region, because all of the atlas levels were inspected and no label was found.",Mihail Bota,"Risold P.Y.,... - Organization of projections from the... (1994) , pp. 1-40"
Anterior hypothalamic nucleus anterior part (AHNa),Triangular nucleus of the septum (TRS),does not exist,PHAL,"Collator note: AHNa does not project to this region, because all of the atlas levels were inspected and no label was found.",Mihail Bota,"Risold P.Y.,... - Organization of projections from the... (1994) , pp. 1-40"
Anterior hypothalamic posterior part (AHNp),Triangular nucleus of the septum (TRS),does not exist,PHAL,"Collator note: AHNp does not project to this region, because all of the atlas levels were inspected and no label was found.",Mihail Bota,"Risold P.Y.,... - Organization of projections from the... (1994) , pp. 1-40"
Basomedial nucleus of the amygdala anterior part (BMAa),Triangular nucleus of the septum (TRS),does not exist,PHAL,"Collator note: BMAa does not project to this region, because all of the atlas levels were inspected and no label was found.",Mihail Bota,"Petrovich GD, Risold... - Organization of projections from the... (1996) , pp. 387-420"
Basomedial nucleus of the amygdala posterior part (BMAp),Triangular nucleus of the septum (TRS),does not exist,PHAL,"Collator note: BMAp does not project to this region, because all of the atlas levels were inspected and no label was found.",Mihail Bota,"Petrovich GD, Risold... - Organization of projections from the... (1996) , pp. 387-420"
Field CA2 (CA2),Triangular nucleus of the septum (TRS),weak,radioactive aminoacids,Collator note: the subcortical targets of CA2 are basically identical with those of CA3,Mihail Bota,"Swanson LW, Cowan... - An autoradiographic study of the... (1977) , pp. 49-84"
Field CA3 (CA3),Triangular nucleus of the septum (TRS),weak,radioactive aminoacids,"Collator note: label of the caudal septal nuclei, extending into the SF and TRS in this level. See Fig. 5B, Swanson Atlas Levels 21-22.",Mihail Bota,"Swanson LW, Cowan... - An autoradiographic study of the... (1977) , pp. 49-84"
Lateral hypothalamic area juxtaparaventricular region (LHAjp),Triangular nucleus of the septum (TRS),weak,PHAL,"Collator note: data directly collated from the associated paper See Table 1, pages 50-52.",Mihail Bota,"Hahn J.D., & Swanson... - Distinct patterns of neuronal inputs and... (2010) , pp. 14-103"
Lateral hypothalamic area suprafornical region (LHAs),Triangular nucleus of the septum (TRS),weak,PHAL,"Collator note: data directly collated from the associated paper See Table 1, pages 50-52.",Mihail Bota,"Hahn J.D., & Swanson... - Distinct patterns of neuronal inputs and... (2010) , pp. 14-103"
Septofimbrial nucleus (SF),Triangular nucleus of the septum (TRS),exists,PHAL,none provided,Larry Swanson,"Risold P.Y., Swanson... - Connections of the lateral septal... (1997) , pp. 115-195"
Anterior hypothalamic central part (AHNc),Triangular nucleus of the septum (TRS),does not exist,PHAL,"Collator note: AHNc does not project to this region, because all of the atlas levels were inspected and no label was found.",Mihail Bota,"Risold P.Y.,... - Organization of projections from the... (1994) , pp. 1-40"
Anterior hypothalamic nucleus anterior part (AHNa),Triangular nucleus of the septum (TRS),does not exist,PHAL,"Collator note: AHNa does not project to this region, because all of the atlas levels were inspected and no label was found.",Mihail Bota,"Risold P.Y.,... - Organization of projections from the... (1994) , pp. 1-40"
Anterior hypothalamic posterior part (AHNp),Triangular nucleus of the septum (TRS),does not exist,PHAL,"Collator note: AHNp does not project to this region, because all of the atlas levels were inspected and no label was found.",Mihail Bota,"Risold P.Y.,... - Organization of projections from the... (1994) , pp. 1-40"
Basomedial nucleus of the amygdala anterior part (BMAa),Triangular nucleus of the septum (TRS),does not exist,PHAL,"Collator note: BMAa does not project to this region, because all of the atlas levels were inspected and no label was found.",Mihail Bota,"Petrovich GD, Risold... - Organization of projections from the... (1996) , pp. 387-420"
Basomedial nucleus of the amygdala posterior part (BMAp),Triangular nucleus of the septum (TRS),does not exist,PHAL,"Collator note: BMAp does not project to this region, because all of the atlas levels were inspected and no label was found.",Mihail Bota,"Petrovich GD, Risold... - Organization of projections from the... (1996) , pp. 387-420"
Field CA2 (CA2),Triangular nucleus of the septum (TRS),weak,radioactive aminoacids,Collator note: the subcortical targets of CA2 are basically identical with those of CA3,Mihail Bota,"Swanson LW, Cowan... - An autoradiographic study of the... (1977) , pp. 49-84"
Field CA3 (CA3),Triangular nucleus of the septum (TRS),weak,radioactive aminoacids,"Collator note: label of the caudal septal nuclei, extending into the SF and TRS in this level. See Fig. 5B, Swanson Atlas Levels 21-22.",Mihail Bota,"Swanson LW, Cowan... - An autoradiographic study of the... (1977) , pp. 49-84"
Lateral hypothalamic area juxtaparaventricular region (LHAjp),Triangular nucleus of the septum (TRS),weak,PHAL,"Collator note: data directly collated from the associated paper See Table 1, pages 50-52.",Mihail Bota,"Hahn J.D., & Swanson... - Distinct patterns of neuronal inputs and... (2010) , pp. 14-103"
Lateral hypothalamic area suprafornical region (LHAs),Triangular nucleus of the septum (TRS),weak,PHAL,"Collator note: data directly collated from the associated paper See Table 1, pages 50-52.",Mihail Bota,"Hahn J.D., & Swanson... - Distinct patterns of neuronal inputs and... (2010) , pp. 14-103"
Septofimbrial nucleus (SF),Triangular nucleus of the septum (TRS),exists,PHAL,none provided,Larry Swanson,"Risold P.Y., Swanson... - Connections of the lateral septal... (1997) , pp. 115-195"
Anterior hypothalamic central part (AHNc),Triangular nucleus of the septum (TRS),does not exist,PHAL,"Collator note: AHNc does not project to this region, because all of the atlas levels were inspected and no label was found.",Mihail Bota,"Risold P.Y.,... - Organization of projections from the... (1994) , pp. 1-40"
Anterior hypothalamic nucleus anterior part (AHNa),Triangular nucleus of the septum (TRS),does not exist,PHAL,"Collator note: AHNa does not project to this region, because all of the atlas levels were inspected and no label was found.",Mihail Bota,"Risold P.Y.,... - Organization of projections from the... (1994) , pp. 1-40"
Anterior hypothalamic posterior part (AHNp),Triangular nucleus of the septum (TRS),does not exist,PHAL,"Collator note: AHNp does not project to this region, because all of the atlas levels were inspected and no label was found.",Mihail Bota,"Risold P.Y.,... - Organization of projections from the... (1994) , pp. 1-40"
Basomedial nucleus of the amygdala anterior part (BMAa),Triangular nucleus of the septum (TRS),does not exist,PHAL,"Collator note: BMAa does not project to this region, because all of the atlas levels were inspected and no label was found.",Mihail Bota,"Petrovich GD, Risold... - Organization of projections from the... (1996) , pp. 387-420"
Basomedial nucleus of the amygdala posterior part (BMAp),Triangular nucleus of the septum (TRS),does not exist,PHAL,"Collator note: BMAp does not project to this region, because all of the atlas levels were inspected and no label was found.",Mihail Bota,"Petrovich GD, Risold... - Organization of projections from the... (1996) , pp. 387-420"
