From,To,Strength,Technique,Description,Collator,Reference
Medial septal nucleus (MS),Presubiculum (PRE),moderate,retrograde tracers,"Collator note: labeled neurons in the medial septum and NDB. See Fig. 8A, Swanson Atlas Levels 15-16.",Mihail Bota,"van Groen T, Wyss... - The connections of presubiculum and... (1990) , pp. 227-43"
Medial septal nucleus (MS),Supraoptic nucleus (SO),moderate,HRP/WGA,"Three cases representative of WGA-HRP injections into the SON are illustrated diagrammatically in Fig. 1. Injections aimed at the SON can be placed into two general groups. In the first group, representing approximately one-third of the injections (6 animals BR773, not shown BR774,778,779,785,789,790), WGA-HRP was largely confined to the SON unilaterally and extended throughout the rostrocaudal length of the nucleus (Fig. 1, BR773; Table 1, BR770, 773). Although the SON was heavily labeled with WGA-HRP the adjoining lateral hypothalamic region dorsal to the SON was also labeled to varying extents. The WGA-HRP staining found in the lateral hypothalamic area, however, often represented the most diffuse portion of the WGA-HRP injection site. The distribution of WGA-HRP-positive neurons resulting froman injection limited mainly to the SON is detailed in Fig. 2BR770) and Table 1 (BR770 and 773) and is representative of allsimilar WGA-HRP injections.",Mihail Bota,"Anderson W.A., Bruni... - Afferent connections of the rat... (1990) , pp. 191-200"
Medial septal nucleus (MS),Lateral hypothalamic area juxtaparaventricular region (LHAjp),weak,CTB,"Collator note: data directly collated from the associated paper See Table 1, pages 50-52.",Mihail Bota,"Hahn J.D., & Swanson... - Distinct patterns of neuronal inputs and... (2010) , pp. 14-103"
Medial septal nucleus (MS),Supraoptic nucleus (SO),very strong,Fast Blue,"In animal BR826, the injection site involved the caudal two-thirds of the SON (Fig. 4, C-E). The rostra1 third of the SON in this animal, however, was largely unstained. The injection site in animal BR8 18 was similar to BR826 except that the FB stainingnot only involved the complete rostrocaudal extent of the SON but had spread dorsal to the SON (Fig. 3) and as well involved the neuropil immediately caudal to the nucleus.",Mihail Bota,"Anderson W.A., Bruni... - Afferent connections of the rat... (1990) , pp. 191-200"
Medial septal nucleus (MS),Supraoptic nucleus (SO),strong,Fast Blue,"In animal BR826, the injection site involved the caudal two-thirds of the SON (Fig. 4, C-E). The rostra1 third of the SON in this animal, however, was largely unstained. The injection site in animal BR8 18 was similar to BR826 except that the FB stainingnot only involved the complete rostrocaudal extent of the SON but had spread dorsal to the SON (Fig. 3) and as well involved the neuropil immediately caudal to the nucleus.",Mihail Bota,"Anderson W.A., Bruni... - Afferent connections of the rat... (1990) , pp. 191-200"
Medial septal nucleus (MS),Induseum griseum (IG),moderate/strong,radioactive aminoacids,"injection of [3H] amino acids into the medial septal nucleus resulted in labeling of both the IG and AHC. Collator note: see Fig. 21, page 269.",Mihail Bota,"Wyss JM &... - The indusium griseum and anterior... (1983) , pp. 251-272"
Medial septal nucleus (MS),Infralimbic area (ILA),moderate/strong,Fluorogold,"Labeling was restricted to [] regions of the BF; that is, to SI, DBh and the medial and LS. Collator note: see Fig. 8 E-G, Swanson Atlas Levels 12-16.",Mihail Bota,"Hoover W.B. & Vertes... - Anatomical analysis of afferent... (2007) , pp. 149-179"
Medial septal nucleus (MS),Lateral hypothalamic area juxtaparaventricular region (LHAjp),moderate,CTB,"Collator note: data directly collated from the associated paper See Table 1, pages 50-52.",Mihail Bota,"Hahn J.D., & Swanson... - Distinct patterns of neuronal inputs and... (2010) , pp. 14-103"
Medial septal nucleus (MS),Medial nucleus of the amygdala posteroventral part (MEApv),moderate,HRP,Particularly numerous was retrograde labeling in the diagonal band of Broca (hdbb and vdbb). Collator note: connections not shown.,Mihail Bota,"Luiten PG, Koolhaas... - The cortico-medial amygdala in the... (1985) , pp. 283-297"
Medial septal nucleus (MS),Parasubiculum (PAR),moderate,retrograde tracers,"Collator note: labeled neurons in the MS. See Fig 9A, Swanson Atlas Levels 15-16.",Mihail Bota,"van Groen T, Wyss... - The connections of presubiculum and... (1990) , pp. 227-43"
Medial septal nucleus (MS),Presubiculum (PRE),moderate,retrograde tracers,"Collator note: labeled neurons in the medial septum and NDB. See Fig. 8A, Swanson Atlas Levels 15-16.",Mihail Bota,"van Groen T, Wyss... - The connections of presubiculum and... (1990) , pp. 227-43"
Medial septal nucleus (MS),Supraoptic nucleus (SO),moderate,HRP/WGA,"Three cases representative of WGA-HRP injections into the SON are illustrated diagrammatically in Fig. 1. Injections aimed at the SON can be placed into two general groups. In the first group, representing approximately one-third of the injections (6 animals BR773, not shown BR774,778,779,785,789,790), WGA-HRP was largely confined to the SON unilaterally and extended throughout the rostrocaudal length of the nucleus (Fig. 1, BR773; Table 1, BR770, 773). Although the SON was heavily labeled with WGA-HRP the adjoining lateral hypothalamic region dorsal to the SON was also labeled to varying extents. The WGA-HRP staining found in the lateral hypothalamic area, however, often represented the most diffuse portion of the WGA-HRP injection site. The distribution of WGA-HRP-positive neurons resulting froman injection limited mainly to the SON is detailed in Fig. 2BR770) and Table 1 (BR770 and 773) and is representative of allsimilar WGA-HRP injections.",Mihail Bota,"Anderson W.A., Bruni... - Afferent connections of the rat... (1990) , pp. 191-200"
Medial septal nucleus (MS),Lateral hypothalamic area juxtaparaventricular region (LHAjp),weak,CTB,"Collator note: data directly collated from the associated paper See Table 1, pages 50-52.",Mihail Bota,"Hahn J.D., & Swanson... - Distinct patterns of neuronal inputs and... (2010) , pp. 14-103"
Medial septal nucleus (MS),Supraoptic nucleus (SO),very strong,Fast Blue,"In animal BR826, the injection site involved the caudal two-thirds of the SON (Fig. 4, C-E). The rostra1 third of the SON in this animal, however, was largely unstained. The injection site in animal BR8 18 was similar to BR826 except that the FB stainingnot only involved the complete rostrocaudal extent of the SON but had spread dorsal to the SON (Fig. 3) and as well involved the neuropil immediately caudal to the nucleus.",Mihail Bota,"Anderson W.A., Bruni... - Afferent connections of the rat... (1990) , pp. 191-200"
Medial septal nucleus (MS),Supraoptic nucleus (SO),strong,Fast Blue,"In animal BR826, the injection site involved the caudal two-thirds of the SON (Fig. 4, C-E). The rostra1 third of the SON in this animal, however, was largely unstained. The injection site in animal BR8 18 was similar to BR826 except that the FB stainingnot only involved the complete rostrocaudal extent of the SON but had spread dorsal to the SON (Fig. 3) and as well involved the neuropil immediately caudal to the nucleus.",Mihail Bota,"Anderson W.A., Bruni... - Afferent connections of the rat... (1990) , pp. 191-200"
Medial septal nucleus (MS),Induseum griseum (IG),moderate/strong,radioactive aminoacids,"injection of [3H] amino acids into the medial septal nucleus resulted in labeling of both the IG and AHC. Collator note: see Fig. 21, page 269.",Mihail Bota,"Wyss JM &... - The indusium griseum and anterior... (1983) , pp. 251-272"
Medial septal nucleus (MS),Infralimbic area (ILA),moderate/strong,Fluorogold,"Labeling was restricted to [] regions of the BF; that is, to SI, DBh and the medial and LS. Collator note: see Fig. 8 E-G, Swanson Atlas Levels 12-16.",Mihail Bota,"Hoover W.B. & Vertes... - Anatomical analysis of afferent... (2007) , pp. 149-179"
Medial septal nucleus (MS),Lateral hypothalamic area juxtaparaventricular region (LHAjp),moderate,CTB,"Collator note: data directly collated from the associated paper See Table 1, pages 50-52.",Mihail Bota,"Hahn J.D., & Swanson... - Distinct patterns of neuronal inputs and... (2010) , pp. 14-103"
Medial septal nucleus (MS),Medial nucleus of the amygdala posteroventral part (MEApv),moderate,HRP,Particularly numerous was retrograde labeling in the diagonal band of Broca (hdbb and vdbb). Collator note: connections not shown.,Mihail Bota,"Luiten PG, Koolhaas... - The cortico-medial amygdala in the... (1985) , pp. 283-297"
Medial septal nucleus (MS),Parasubiculum (PAR),moderate,retrograde tracers,"Collator note: labeled neurons in the MS. See Fig 9A, Swanson Atlas Levels 15-16.",Mihail Bota,"van Groen T, Wyss... - The connections of presubiculum and... (1990) , pp. 227-43"
Medial septal nucleus (MS),Presubiculum (PRE),moderate,retrograde tracers,"Collator note: labeled neurons in the medial septum and NDB. See Fig. 8A, Swanson Atlas Levels 15-16.",Mihail Bota,"van Groen T, Wyss... - The connections of presubiculum and... (1990) , pp. 227-43"
Medial septal nucleus (MS),Supraoptic nucleus (SO),moderate,HRP/WGA,"Three cases representative of WGA-HRP injections into the SON are illustrated diagrammatically in Fig. 1. Injections aimed at the SON can be placed into two general groups. In the first group, representing approximately one-third of the injections (6 animals BR773, not shown BR774,778,779,785,789,790), WGA-HRP was largely confined to the SON unilaterally and extended throughout the rostrocaudal length of the nucleus (Fig. 1, BR773; Table 1, BR770, 773). Although the SON was heavily labeled with WGA-HRP the adjoining lateral hypothalamic region dorsal to the SON was also labeled to varying extents. The WGA-HRP staining found in the lateral hypothalamic area, however, often represented the most diffuse portion of the WGA-HRP injection site. The distribution of WGA-HRP-positive neurons resulting froman injection limited mainly to the SON is detailed in Fig. 2BR770) and Table 1 (BR770 and 773) and is representative of allsimilar WGA-HRP injections.",Mihail Bota,"Anderson W.A., Bruni... - Afferent connections of the rat... (1990) , pp. 191-200"
Medial septal nucleus (MS),Lateral hypothalamic area juxtaparaventricular region (LHAjp),weak,CTB,"Collator note: data directly collated from the associated paper See Table 1, pages 50-52.",Mihail Bota,"Hahn J.D., & Swanson... - Distinct patterns of neuronal inputs and... (2010) , pp. 14-103"
Medial septal nucleus (MS),Supraoptic nucleus (SO),very strong,Fast Blue,"In animal BR826, the injection site involved the caudal two-thirds of the SON (Fig. 4, C-E). The rostra1 third of the SON in this animal, however, was largely unstained. The injection site in animal BR8 18 was similar to BR826 except that the FB stainingnot only involved the complete rostrocaudal extent of the SON but had spread dorsal to the SON (Fig. 3) and as well involved the neuropil immediately caudal to the nucleus.",Mihail Bota,"Anderson W.A., Bruni... - Afferent connections of the rat... (1990) , pp. 191-200"
Medial septal nucleus (MS),Supraoptic nucleus (SO),strong,Fast Blue,"In animal BR826, the injection site involved the caudal two-thirds of the SON (Fig. 4, C-E). The rostra1 third of the SON in this animal, however, was largely unstained. The injection site in animal BR8 18 was similar to BR826 except that the FB stainingnot only involved the complete rostrocaudal extent of the SON but had spread dorsal to the SON (Fig. 3) and as well involved the neuropil immediately caudal to the nucleus.",Mihail Bota,"Anderson W.A., Bruni... - Afferent connections of the rat... (1990) , pp. 191-200"
Medial septal nucleus (MS),Induseum griseum (IG),moderate/strong,radioactive aminoacids,"injection of [3H] amino acids into the medial septal nucleus resulted in labeling of both the IG and AHC. Collator note: see Fig. 21, page 269.",Mihail Bota,"Wyss JM &... - The indusium griseum and anterior... (1983) , pp. 251-272"
Medial septal nucleus (MS),Infralimbic area (ILA),moderate/strong,Fluorogold,"Labeling was restricted to [] regions of the BF; that is, to SI, DBh and the medial and LS. Collator note: see Fig. 8 E-G, Swanson Atlas Levels 12-16.",Mihail Bota,"Hoover W.B. & Vertes... - Anatomical analysis of afferent... (2007) , pp. 149-179"
Medial septal nucleus (MS),Lateral hypothalamic area juxtaparaventricular region (LHAjp),moderate,CTB,"Collator note: data directly collated from the associated paper See Table 1, pages 50-52.",Mihail Bota,"Hahn J.D., & Swanson... - Distinct patterns of neuronal inputs and... (2010) , pp. 14-103"
Medial septal nucleus (MS),Medial nucleus of the amygdala posteroventral part (MEApv),moderate,HRP,Particularly numerous was retrograde labeling in the diagonal band of Broca (hdbb and vdbb). Collator note: connections not shown.,Mihail Bota,"Luiten PG, Koolhaas... - The cortico-medial amygdala in the... (1985) , pp. 283-297"
Medial septal nucleus (MS),Parasubiculum (PAR),moderate,retrograde tracers,"Collator note: labeled neurons in the MS. See Fig 9A, Swanson Atlas Levels 15-16.",Mihail Bota,"van Groen T, Wyss... - The connections of presubiculum and... (1990) , pp. 227-43"
Medial septal nucleus (MS),Presubiculum (PRE),moderate,retrograde tracers,"Collator note: labeled neurons in the medial septum and NDB. See Fig. 8A, Swanson Atlas Levels 15-16.",Mihail Bota,"van Groen T, Wyss... - The connections of presubiculum and... (1990) , pp. 227-43"
Medial septal nucleus (MS),Supraoptic nucleus (SO),moderate,HRP/WGA,"Three cases representative of WGA-HRP injections into the SON are illustrated diagrammatically in Fig. 1. Injections aimed at the SON can be placed into two general groups. In the first group, representing approximately one-third of the injections (6 animals BR773, not shown BR774,778,779,785,789,790), WGA-HRP was largely confined to the SON unilaterally and extended throughout the rostrocaudal length of the nucleus (Fig. 1, BR773; Table 1, BR770, 773). Although the SON was heavily labeled with WGA-HRP the adjoining lateral hypothalamic region dorsal to the SON was also labeled to varying extents. The WGA-HRP staining found in the lateral hypothalamic area, however, often represented the most diffuse portion of the WGA-HRP injection site. The distribution of WGA-HRP-positive neurons resulting froman injection limited mainly to the SON is detailed in Fig. 2BR770) and Table 1 (BR770 and 773) and is representative of allsimilar WGA-HRP injections.",Mihail Bota,"Anderson W.A., Bruni... - Afferent connections of the rat... (1990) , pp. 191-200"
Medial septal nucleus (MS),Lateral hypothalamic area juxtaparaventricular region (LHAjp),weak,CTB,"Collator note: data directly collated from the associated paper See Table 1, pages 50-52.",Mihail Bota,"Hahn J.D., & Swanson... - Distinct patterns of neuronal inputs and... (2010) , pp. 14-103"
Medial septal nucleus (MS),Supraoptic nucleus (SO),very strong,Fast Blue,"In animal BR826, the injection site involved the caudal two-thirds of the SON (Fig. 4, C-E). The rostra1 third of the SON in this animal, however, was largely unstained. The injection site in animal BR8 18 was similar to BR826 except that the FB stainingnot only involved the complete rostrocaudal extent of the SON but had spread dorsal to the SON (Fig. 3) and as well involved the neuropil immediately caudal to the nucleus.",Mihail Bota,"Anderson W.A., Bruni... - Afferent connections of the rat... (1990) , pp. 191-200"
Medial septal nucleus (MS),Supraoptic nucleus (SO),strong,Fast Blue,"In animal BR826, the injection site involved the caudal two-thirds of the SON (Fig. 4, C-E). The rostra1 third of the SON in this animal, however, was largely unstained. The injection site in animal BR8 18 was similar to BR826 except that the FB stainingnot only involved the complete rostrocaudal extent of the SON but had spread dorsal to the SON (Fig. 3) and as well involved the neuropil immediately caudal to the nucleus.",Mihail Bota,"Anderson W.A., Bruni... - Afferent connections of the rat... (1990) , pp. 191-200"
Medial septal nucleus (MS),Induseum griseum (IG),moderate/strong,radioactive aminoacids,"injection of [3H] amino acids into the medial septal nucleus resulted in labeling of both the IG and AHC. Collator note: see Fig. 21, page 269.",Mihail Bota,"Wyss JM &... - The indusium griseum and anterior... (1983) , pp. 251-272"
Medial septal nucleus (MS),Infralimbic area (ILA),moderate/strong,Fluorogold,"Labeling was restricted to [] regions of the BF; that is, to SI, DBh and the medial and LS. Collator note: see Fig. 8 E-G, Swanson Atlas Levels 12-16.",Mihail Bota,"Hoover W.B. & Vertes... - Anatomical analysis of afferent... (2007) , pp. 149-179"
Medial septal nucleus (MS),Lateral hypothalamic area juxtaparaventricular region (LHAjp),moderate,CTB,"Collator note: data directly collated from the associated paper See Table 1, pages 50-52.",Mihail Bota,"Hahn J.D., & Swanson... - Distinct patterns of neuronal inputs and... (2010) , pp. 14-103"
Medial septal nucleus (MS),Medial nucleus of the amygdala posteroventral part (MEApv),moderate,HRP,Particularly numerous was retrograde labeling in the diagonal band of Broca (hdbb and vdbb). Collator note: connections not shown.,Mihail Bota,"Luiten PG, Koolhaas... - The cortico-medial amygdala in the... (1985) , pp. 283-297"
Medial septal nucleus (MS),Parasubiculum (PAR),moderate,retrograde tracers,"Collator note: labeled neurons in the MS. See Fig 9A, Swanson Atlas Levels 15-16.",Mihail Bota,"van Groen T, Wyss... - The connections of presubiculum and... (1990) , pp. 227-43"
Medial septal nucleus (MS),Presubiculum (PRE),moderate,retrograde tracers,"Collator note: labeled neurons in the medial septum and NDB. See Fig. 8A, Swanson Atlas Levels 15-16.",Mihail Bota,"van Groen T, Wyss... - The connections of presubiculum and... (1990) , pp. 227-43"
Medial septal nucleus (MS),Supraoptic nucleus (SO),moderate,HRP/WGA,"Three cases representative of WGA-HRP injections into the SON are illustrated diagrammatically in Fig. 1. Injections aimed at the SON can be placed into two general groups. In the first group, representing approximately one-third of the injections (6 animals BR773, not shown BR774,778,779,785,789,790), WGA-HRP was largely confined to the SON unilaterally and extended throughout the rostrocaudal length of the nucleus (Fig. 1, BR773; Table 1, BR770, 773). Although the SON was heavily labeled with WGA-HRP the adjoining lateral hypothalamic region dorsal to the SON was also labeled to varying extents. The WGA-HRP staining found in the lateral hypothalamic area, however, often represented the most diffuse portion of the WGA-HRP injection site. The distribution of WGA-HRP-positive neurons resulting froman injection limited mainly to the SON is detailed in Fig. 2BR770) and Table 1 (BR770 and 773) and is representative of allsimilar WGA-HRP injections.",Mihail Bota,"Anderson W.A., Bruni... - Afferent connections of the rat... (1990) , pp. 191-200"
Medial septal nucleus (MS),Lateral hypothalamic area juxtaparaventricular region (LHAjp),weak,CTB,"Collator note: data directly collated from the associated paper See Table 1, pages 50-52.",Mihail Bota,"Hahn J.D., & Swanson... - Distinct patterns of neuronal inputs and... (2010) , pp. 14-103"
Medial septal nucleus (MS),Supraoptic nucleus (SO),very strong,Fast Blue,"In animal BR826, the injection site involved the caudal two-thirds of the SON (Fig. 4, C-E). The rostra1 third of the SON in this animal, however, was largely unstained. The injection site in animal BR8 18 was similar to BR826 except that the FB stainingnot only involved the complete rostrocaudal extent of the SON but had spread dorsal to the SON (Fig. 3) and as well involved the neuropil immediately caudal to the nucleus.",Mihail Bota,"Anderson W.A., Bruni... - Afferent connections of the rat... (1990) , pp. 191-200"
Medial septal nucleus (MS),Supraoptic nucleus (SO),strong,Fast Blue,"In animal BR826, the injection site involved the caudal two-thirds of the SON (Fig. 4, C-E). The rostra1 third of the SON in this animal, however, was largely unstained. The injection site in animal BR8 18 was similar to BR826 except that the FB stainingnot only involved the complete rostrocaudal extent of the SON but had spread dorsal to the SON (Fig. 3) and as well involved the neuropil immediately caudal to the nucleus.",Mihail Bota,"Anderson W.A., Bruni... - Afferent connections of the rat... (1990) , pp. 191-200"
Medial septal nucleus (MS),Induseum griseum (IG),moderate/strong,radioactive aminoacids,"injection of [3H] amino acids into the medial septal nucleus resulted in labeling of both the IG and AHC. Collator note: see Fig. 21, page 269.",Mihail Bota,"Wyss JM &... - The indusium griseum and anterior... (1983) , pp. 251-272"
Medial septal nucleus (MS),Infralimbic area (ILA),moderate/strong,Fluorogold,"Labeling was restricted to [] regions of the BF; that is, to SI, DBh and the medial and LS. Collator note: see Fig. 8 E-G, Swanson Atlas Levels 12-16.",Mihail Bota,"Hoover W.B. & Vertes... - Anatomical analysis of afferent... (2007) , pp. 149-179"
Medial septal nucleus (MS),Lateral hypothalamic area juxtaparaventricular region (LHAjp),moderate,CTB,"Collator note: data directly collated from the associated paper See Table 1, pages 50-52.",Mihail Bota,"Hahn J.D., & Swanson... - Distinct patterns of neuronal inputs and... (2010) , pp. 14-103"
Medial septal nucleus (MS),Medial nucleus of the amygdala posteroventral part (MEApv),moderate,HRP,Particularly numerous was retrograde labeling in the diagonal band of Broca (hdbb and vdbb). Collator note: connections not shown.,Mihail Bota,"Luiten PG, Koolhaas... - The cortico-medial amygdala in the... (1985) , pp. 283-297"
Medial septal nucleus (MS),Parasubiculum (PAR),moderate,retrograde tracers,"Collator note: labeled neurons in the MS. See Fig 9A, Swanson Atlas Levels 15-16.",Mihail Bota,"van Groen T, Wyss... - The connections of presubiculum and... (1990) , pp. 227-43"
Medial septal nucleus (MS),Presubiculum (PRE),moderate,retrograde tracers,"Collator note: labeled neurons in the medial septum and NDB. See Fig. 8A, Swanson Atlas Levels 15-16.",Mihail Bota,"van Groen T, Wyss... - The connections of presubiculum and... (1990) , pp. 227-43"
Medial septal nucleus (MS),Supraoptic nucleus (SO),moderate,HRP/WGA,"Three cases representative of WGA-HRP injections into the SON are illustrated diagrammatically in Fig. 1. Injections aimed at the SON can be placed into two general groups. In the first group, representing approximately one-third of the injections (6 animals BR773, not shown BR774,778,779,785,789,790), WGA-HRP was largely confined to the SON unilaterally and extended throughout the rostrocaudal length of the nucleus (Fig. 1, BR773; Table 1, BR770, 773). Although the SON was heavily labeled with WGA-HRP the adjoining lateral hypothalamic region dorsal to the SON was also labeled to varying extents. The WGA-HRP staining found in the lateral hypothalamic area, however, often represented the most diffuse portion of the WGA-HRP injection site. The distribution of WGA-HRP-positive neurons resulting froman injection limited mainly to the SON is detailed in Fig. 2BR770) and Table 1 (BR770 and 773) and is representative of allsimilar WGA-HRP injections.",Mihail Bota,"Anderson W.A., Bruni... - Afferent connections of the rat... (1990) , pp. 191-200"
Medial septal nucleus (MS),Lateral hypothalamic area juxtaparaventricular region (LHAjp),weak,CTB,"Collator note: data directly collated from the associated paper See Table 1, pages 50-52.",Mihail Bota,"Hahn J.D., & Swanson... - Distinct patterns of neuronal inputs and... (2010) , pp. 14-103"
Medial septal nucleus (MS),Supraoptic nucleus (SO),very strong,Fast Blue,"In animal BR826, the injection site involved the caudal two-thirds of the SON (Fig. 4, C-E). The rostra1 third of the SON in this animal, however, was largely unstained. The injection site in animal BR8 18 was similar to BR826 except that the FB stainingnot only involved the complete rostrocaudal extent of the SON but had spread dorsal to the SON (Fig. 3) and as well involved the neuropil immediately caudal to the nucleus.",Mihail Bota,"Anderson W.A., Bruni... - Afferent connections of the rat... (1990) , pp. 191-200"
Medial septal nucleus (MS),Supraoptic nucleus (SO),strong,Fast Blue,"In animal BR826, the injection site involved the caudal two-thirds of the SON (Fig. 4, C-E). The rostra1 third of the SON in this animal, however, was largely unstained. The injection site in animal BR8 18 was similar to BR826 except that the FB stainingnot only involved the complete rostrocaudal extent of the SON but had spread dorsal to the SON (Fig. 3) and as well involved the neuropil immediately caudal to the nucleus.",Mihail Bota,"Anderson W.A., Bruni... - Afferent connections of the rat... (1990) , pp. 191-200"
