From,To,Strength,Technique,Description,Collator,Reference
Bed nuclei of the stria terminalis anterolateral area (BSTal),Olfactory tubercle polymorph layer (OT3),weak,PHAL,None provided.,Hong-Wei Dong,Dong H-W & Swanson... - Organization of axonal projections from... (2003)
"Entorhinal area, lateral part (ENTl)",Olfactory tubercle polymorph layer (OT3),strong,PHAL,"similar [with the piriform cortex], though considerably more dense, pattern was seen in the olfactory tubercle. Collator note: the (rostro-)medial part of the OT appears to be densely stained.",Mihail Bota,"Swanson L.W., Kohler... - Anatomical evidence for direct... (1986) , pp. 3010-23"
Bed nuclei of the stria terminalis anterolateral area (BSTal),Olfactory tubercle polymorph layer (OT3),moderate,PHAL,Two distinguished terminal fields seem to be located in OT3 (isl?).,Hong-Wei Dong,Dong H-W & Swanson... - Organization of axonal projections from... (2003)
Bed nuclei of the stria terminalis dorsal nucleus (BSTd),Olfactory tubercle polymorph layer (OT3),moderate,PHAL,A rostral projection from the BSTd densely innervatesventral regions of the lateral septal nucleus (the LSv and LSr.vl.v) and the caudal pole and shell of the nucleusaccumbens and moderately innervates the olfactory tubercleand rostral regions of the substantia innominata.,Mihail Bota,"Dong H.-W. & Swanson... - Projections from bed nuclei of the stria... (2006) , pp. 142-148"
Bed nuclei of the stria terminalis rhomboid nucleus (BSTrh),Olfactory tubercle polymorph layer (OT3),moderate/weak,PHAL,"Some of...axons then leave the rostral substantia innominata to end in the adjacent olfactory tubercle, where dense clusters of PHAL-labeled boutons were observed in all three layers (Fig. 4C-E).",Mihail Bota,"Dong H-W., Swanson... - Projections from the rhomboid nucleus of... (2004) , pp. 434-472"
Bed nuclei of the stria terminalis anterior division fusiform nucleus (BSTfu),Olfactory tubercle polymorph layer (OT3),weak,PHAL,none provided,Larry Swanson,"Dong HW, Petrovich... - Basic organization of projections from... (2001) , pp. 430-55"
Bed nuclei of the stria terminalis anterior division ventral nucleus (BSTv),Olfactory tubercle polymorph layer (OT3),weak,PHAL,,Hong-Wei Dong,Dong H. & Swanson... - Projections from bed nuclei of the stria... (2005)
Bed nuclei of the stria terminalis anterolateral area (BSTal),Olfactory tubercle polymorph layer (OT3),weak,PHAL,None provided.,Hong-Wei Dong,Dong H-W & Swanson... - Organization of axonal projections from... (2003)
Bed nuclei of the stria terminalis anterolateral area (BSTal),Olfactory tubercle polymorph layer (OT3),weak,PHAL,None provided.,Hong-Wei Dong,Dong H-W & Swanson... - Organization of axonal projections from... (2003)
Bed nuclei of the stria terminalis anterolateral area (BSTal),Olfactory tubercle polymorph layer (OT3),weak,PHAL,None provided.,Hong-Wei Dong,Dong H-W & Swanson... - Organization of axonal projections from... (2003)
Bed nuclei of the stria terminalis anterolateral area (BSTal),Olfactory tubercle polymorph layer (OT3),weak,PHAL,None provided.,Hong-Wei Dong,Dong H-W & Swanson... - Organization of axonal projections from... (2003)
"Entorhinal area, lateral part (ENTl)",Olfactory tubercle polymorph layer (OT3),strong,PHAL,"similar [with the piriform cortex], though considerably more dense, pattern was seen in the olfactory tubercle. Collator note: the (rostro-)medial part of the OT appears to be densely stained.",Mihail Bota,"Swanson L.W., Kohler... - Anatomical evidence for direct... (1986) , pp. 3010-23"
Bed nuclei of the stria terminalis anterolateral area (BSTal),Olfactory tubercle polymorph layer (OT3),moderate,PHAL,Two distinguished terminal fields seem to be located in OT3 (isl?).,Hong-Wei Dong,Dong H-W & Swanson... - Organization of axonal projections from... (2003)
Bed nuclei of the stria terminalis dorsal nucleus (BSTd),Olfactory tubercle polymorph layer (OT3),moderate,PHAL,A rostral projection from the BSTd densely innervatesventral regions of the lateral septal nucleus (the LSv and LSr.vl.v) and the caudal pole and shell of the nucleusaccumbens and moderately innervates the olfactory tubercleand rostral regions of the substantia innominata.,Mihail Bota,"Dong H.-W. & Swanson... - Projections from bed nuclei of the stria... (2006) , pp. 142-148"
Bed nuclei of the stria terminalis rhomboid nucleus (BSTrh),Olfactory tubercle polymorph layer (OT3),moderate/weak,PHAL,"Some of...axons then leave the rostral substantia innominata to end in the adjacent olfactory tubercle, where dense clusters of PHAL-labeled boutons were observed in all three layers (Fig. 4C-E).",Mihail Bota,"Dong H-W., Swanson... - Projections from the rhomboid nucleus of... (2004) , pp. 434-472"
Bed nuclei of the stria terminalis anterior division fusiform nucleus (BSTfu),Olfactory tubercle polymorph layer (OT3),weak,PHAL,none provided,Larry Swanson,"Dong HW, Petrovich... - Basic organization of projections from... (2001) , pp. 430-55"
Bed nuclei of the stria terminalis anterior division ventral nucleus (BSTv),Olfactory tubercle polymorph layer (OT3),weak,PHAL,,Hong-Wei Dong,Dong H. & Swanson... - Projections from bed nuclei of the stria... (2005)
Bed nuclei of the stria terminalis anterolateral area (BSTal),Olfactory tubercle polymorph layer (OT3),weak,PHAL,None provided.,Hong-Wei Dong,Dong H-W & Swanson... - Organization of axonal projections from... (2003)
Bed nuclei of the stria terminalis anterolateral area (BSTal),Olfactory tubercle polymorph layer (OT3),weak,PHAL,None provided.,Hong-Wei Dong,Dong H-W & Swanson... - Organization of axonal projections from... (2003)
Bed nuclei of the stria terminalis anterolateral area (BSTal),Olfactory tubercle polymorph layer (OT3),weak,PHAL,None provided.,Hong-Wei Dong,Dong H-W & Swanson... - Organization of axonal projections from... (2003)
Bed nuclei of the stria terminalis anterolateral area (BSTal),Olfactory tubercle polymorph layer (OT3),weak,PHAL,None provided.,Hong-Wei Dong,Dong H-W & Swanson... - Organization of axonal projections from... (2003)
"Entorhinal area, lateral part (ENTl)",Olfactory tubercle polymorph layer (OT3),strong,PHAL,"similar [with the piriform cortex], though considerably more dense, pattern was seen in the olfactory tubercle. Collator note: the (rostro-)medial part of the OT appears to be densely stained.",Mihail Bota,"Swanson L.W., Kohler... - Anatomical evidence for direct... (1986) , pp. 3010-23"
Bed nuclei of the stria terminalis anterolateral area (BSTal),Olfactory tubercle polymorph layer (OT3),moderate,PHAL,Two distinguished terminal fields seem to be located in OT3 (isl?).,Hong-Wei Dong,Dong H-W & Swanson... - Organization of axonal projections from... (2003)
Bed nuclei of the stria terminalis dorsal nucleus (BSTd),Olfactory tubercle polymorph layer (OT3),moderate,PHAL,A rostral projection from the BSTd densely innervatesventral regions of the lateral septal nucleus (the LSv and LSr.vl.v) and the caudal pole and shell of the nucleusaccumbens and moderately innervates the olfactory tubercleand rostral regions of the substantia innominata.,Mihail Bota,"Dong H.-W. & Swanson... - Projections from bed nuclei of the stria... (2006) , pp. 142-148"
Bed nuclei of the stria terminalis rhomboid nucleus (BSTrh),Olfactory tubercle polymorph layer (OT3),moderate/weak,PHAL,"Some of...axons then leave the rostral substantia innominata to end in the adjacent olfactory tubercle, where dense clusters of PHAL-labeled boutons were observed in all three layers (Fig. 4C-E).",Mihail Bota,"Dong H-W., Swanson... - Projections from the rhomboid nucleus of... (2004) , pp. 434-472"
Bed nuclei of the stria terminalis anterior division fusiform nucleus (BSTfu),Olfactory tubercle polymorph layer (OT3),weak,PHAL,none provided,Larry Swanson,"Dong HW, Petrovich... - Basic organization of projections from... (2001) , pp. 430-55"
Bed nuclei of the stria terminalis anterior division ventral nucleus (BSTv),Olfactory tubercle polymorph layer (OT3),weak,PHAL,,Hong-Wei Dong,Dong H. & Swanson... - Projections from bed nuclei of the stria... (2005)
Bed nuclei of the stria terminalis anterolateral area (BSTal),Olfactory tubercle polymorph layer (OT3),weak,PHAL,None provided.,Hong-Wei Dong,Dong H-W & Swanson... - Organization of axonal projections from... (2003)
Bed nuclei of the stria terminalis anterolateral area (BSTal),Olfactory tubercle polymorph layer (OT3),weak,PHAL,None provided.,Hong-Wei Dong,Dong H-W & Swanson... - Organization of axonal projections from... (2003)
Bed nuclei of the stria terminalis anterolateral area (BSTal),Olfactory tubercle polymorph layer (OT3),weak,PHAL,None provided.,Hong-Wei Dong,Dong H-W & Swanson... - Organization of axonal projections from... (2003)
Bed nuclei of the stria terminalis anterolateral area (BSTal),Olfactory tubercle polymorph layer (OT3),weak,PHAL,None provided.,Hong-Wei Dong,Dong H-W & Swanson... - Organization of axonal projections from... (2003)
