From,To,Strength,Technique,Description,Collator,Reference
Central nucleus of amygdala capsular part (CEAc),Bed nuclei of the stria terminalis anterior division magnocellular nucleus (BSTmg),moderate,PHAL,Input from the ventral part of CEAc,Larry Swanson,"Dong H., Petrovich... - Topography of projections from amygdala... (2001) , pp. 102-246"
Central nucleus of amygdala capsular part (CEAc),"Bed nuclei of the stria terminalis, anterior division, subcommisural zone (BSTsc)",moderate,PHAL,Input from the lateral part of CEAc,Larry Swanson,"Dong H., Petrovich... - Topography of projections from amygdala... (2001) , pp. 102-246"
Central nucleus of amygdala capsular part (CEAc),"Bed nuclei of the stria terminalis, anterior division, subcommisural zone (BSTsc)",moderate,CTB,Retrogradely labeled neurons were found in the [...] central nucleus of the amygdala (Figs. 4G-L) [...]. Collator note: Atlas 28-30; at least the ventral part contains labeled neurons,Mihail Bota,"Shin J.W., Geerling... - Inputs to the ventrolateral bed nucleus... (2008) , pp. 628-657"
Central nucleus of amygdala capsular part (CEAc),Bed nuclei of the stria terminalis rhomboid nucleus (BSTrh),moderate,PHAL,Input from the ventral part of CEAc,Larry Swanson,"Dong H., Petrovich... - Topography of projections from amygdala... (2001) , pp. 102-246"
Central nucleus of amygdala capsular part (CEAc),Bed nuclei of the stria terminalis anterior division anteroventral area (BSTav),weak,PHAL,Input from the lateral part of CEAc,Larry Swanson,"Dong H., Petrovich... - Topography of projections from amygdala... (2001) , pp. 102-246"
Central nucleus of amygdala capsular part (CEAc),Bed nuclei of the stria terminalis anterior division fusiform nucleus (BSTfu),weak,PHAL,Input from the lateral part of CEAc,Larry Swanson,"Dong H., Petrovich... - Topography of projections from amygdala... (2001) , pp. 102-246"
Central nucleus of amygdala capsular part (CEAc),"Bed nuclei of the stria terminalis, anterior division, subcommisural zone (BSTsc)",strong,PHAL,Input from the ventral part of CEAc,Larry Swanson,"Dong H., Petrovich... - Topography of projections from amygdala... (2001) , pp. 102-246"
Central nucleus of amygdala capsular part (CEAc),Bed nuclei of the stria terminalis anterior division anteroventral area (BSTav),moderate,PHAL,Input from the ventral part of CEAc,Larry Swanson,"Dong H., Petrovich... - Topography of projections from amygdala... (2001) , pp. 102-246"
Central nucleus of amygdala capsular part (CEAc),Bed nuclei of the stria terminalis anterior division dorsomedial nucleus (BSTdm),moderate,PHAL,Input from the ventral part of CEAc,Larry Swanson,"Dong H., Petrovich... - Topography of projections from amygdala... (2001) , pp. 102-246"
Central nucleus of amygdala capsular part (CEAc),Bed nuclei of the stria terminalis anterior division fusiform nucleus (BSTfu),moderate,PHAL,Input from the ventral part of CEAc,Larry Swanson,"Dong H., Petrovich... - Topography of projections from amygdala... (2001) , pp. 102-246"
Central nucleus of amygdala capsular part (CEAc),Bed nuclei of the stria terminalis anterior division magnocellular nucleus (BSTmg),moderate,PHAL,Input from the ventral part of CEAc,Larry Swanson,"Dong H., Petrovich... - Topography of projections from amygdala... (2001) , pp. 102-246"
Central nucleus of amygdala capsular part (CEAc),"Bed nuclei of the stria terminalis, anterior division, subcommisural zone (BSTsc)",moderate,PHAL,Input from the lateral part of CEAc,Larry Swanson,"Dong H., Petrovich... - Topography of projections from amygdala... (2001) , pp. 102-246"
Central nucleus of amygdala capsular part (CEAc),"Bed nuclei of the stria terminalis, anterior division, subcommisural zone (BSTsc)",moderate,CTB,Retrogradely labeled neurons were found in the [...] central nucleus of the amygdala (Figs. 4G-L) [...]. Collator note: Atlas 28-30; at least the ventral part contains labeled neurons,Mihail Bota,"Shin J.W., Geerling... - Inputs to the ventrolateral bed nucleus... (2008) , pp. 628-657"
Central nucleus of amygdala capsular part (CEAc),Bed nuclei of the stria terminalis rhomboid nucleus (BSTrh),moderate,PHAL,Input from the ventral part of CEAc,Larry Swanson,"Dong H., Petrovich... - Topography of projections from amygdala... (2001) , pp. 102-246"
Central nucleus of amygdala capsular part (CEAc),Bed nuclei of the stria terminalis anterior division anteroventral area (BSTav),weak,PHAL,Input from the lateral part of CEAc,Larry Swanson,"Dong H., Petrovich... - Topography of projections from amygdala... (2001) , pp. 102-246"
Central nucleus of amygdala capsular part (CEAc),Bed nuclei of the stria terminalis anterior division fusiform nucleus (BSTfu),weak,PHAL,Input from the lateral part of CEAc,Larry Swanson,"Dong H., Petrovich... - Topography of projections from amygdala... (2001) , pp. 102-246"
Central nucleus of amygdala capsular part (CEAc),"Bed nuclei of the stria terminalis, anterior division, subcommisural zone (BSTsc)",strong,PHAL,Input from the ventral part of CEAc,Larry Swanson,"Dong H., Petrovich... - Topography of projections from amygdala... (2001) , pp. 102-246"
Central nucleus of amygdala capsular part (CEAc),Bed nuclei of the stria terminalis anterior division anteroventral area (BSTav),moderate,PHAL,Input from the ventral part of CEAc,Larry Swanson,"Dong H., Petrovich... - Topography of projections from amygdala... (2001) , pp. 102-246"
Central nucleus of amygdala capsular part (CEAc),Bed nuclei of the stria terminalis anterior division dorsomedial nucleus (BSTdm),moderate,PHAL,Input from the ventral part of CEAc,Larry Swanson,"Dong H., Petrovich... - Topography of projections from amygdala... (2001) , pp. 102-246"
Central nucleus of amygdala capsular part (CEAc),Bed nuclei of the stria terminalis anterior division fusiform nucleus (BSTfu),moderate,PHAL,Input from the ventral part of CEAc,Larry Swanson,"Dong H., Petrovich... - Topography of projections from amygdala... (2001) , pp. 102-246"
Central nucleus of amygdala capsular part (CEAc),Bed nuclei of the stria terminalis anterior division magnocellular nucleus (BSTmg),moderate,PHAL,Input from the ventral part of CEAc,Larry Swanson,"Dong H., Petrovich... - Topography of projections from amygdala... (2001) , pp. 102-246"
Central nucleus of amygdala capsular part (CEAc),"Bed nuclei of the stria terminalis, anterior division, subcommisural zone (BSTsc)",moderate,PHAL,Input from the lateral part of CEAc,Larry Swanson,"Dong H., Petrovich... - Topography of projections from amygdala... (2001) , pp. 102-246"
Central nucleus of amygdala capsular part (CEAc),"Bed nuclei of the stria terminalis, anterior division, subcommisural zone (BSTsc)",moderate,CTB,Retrogradely labeled neurons were found in the [...] central nucleus of the amygdala (Figs. 4G-L) [...]. Collator note: Atlas 28-30; at least the ventral part contains labeled neurons,Mihail Bota,"Shin J.W., Geerling... - Inputs to the ventrolateral bed nucleus... (2008) , pp. 628-657"
Central nucleus of amygdala capsular part (CEAc),Bed nuclei of the stria terminalis rhomboid nucleus (BSTrh),moderate,PHAL,Input from the ventral part of CEAc,Larry Swanson,"Dong H., Petrovich... - Topography of projections from amygdala... (2001) , pp. 102-246"
Central nucleus of amygdala capsular part (CEAc),Bed nuclei of the stria terminalis anterior division anteroventral area (BSTav),weak,PHAL,Input from the lateral part of CEAc,Larry Swanson,"Dong H., Petrovich... - Topography of projections from amygdala... (2001) , pp. 102-246"
Central nucleus of amygdala capsular part (CEAc),Bed nuclei of the stria terminalis anterior division fusiform nucleus (BSTfu),weak,PHAL,Input from the lateral part of CEAc,Larry Swanson,"Dong H., Petrovich... - Topography of projections from amygdala... (2001) , pp. 102-246"
Central nucleus of amygdala capsular part (CEAc),"Bed nuclei of the stria terminalis, anterior division, subcommisural zone (BSTsc)",strong,PHAL,Input from the ventral part of CEAc,Larry Swanson,"Dong H., Petrovich... - Topography of projections from amygdala... (2001) , pp. 102-246"
Central nucleus of amygdala capsular part (CEAc),Bed nuclei of the stria terminalis anterior division anteroventral area (BSTav),moderate,PHAL,Input from the ventral part of CEAc,Larry Swanson,"Dong H., Petrovich... - Topography of projections from amygdala... (2001) , pp. 102-246"
Central nucleus of amygdala capsular part (CEAc),Bed nuclei of the stria terminalis anterior division dorsomedial nucleus (BSTdm),moderate,PHAL,Input from the ventral part of CEAc,Larry Swanson,"Dong H., Petrovich... - Topography of projections from amygdala... (2001) , pp. 102-246"
Central nucleus of amygdala capsular part (CEAc),Bed nuclei of the stria terminalis anterior division fusiform nucleus (BSTfu),moderate,PHAL,Input from the ventral part of CEAc,Larry Swanson,"Dong H., Petrovich... - Topography of projections from amygdala... (2001) , pp. 102-246"
Central nucleus of amygdala capsular part (CEAc),Bed nuclei of the stria terminalis anterior division magnocellular nucleus (BSTmg),moderate,PHAL,Input from the ventral part of CEAc,Larry Swanson,"Dong H., Petrovich... - Topography of projections from amygdala... (2001) , pp. 102-246"
Central nucleus of amygdala capsular part (CEAc),"Bed nuclei of the stria terminalis, anterior division, subcommisural zone (BSTsc)",moderate,PHAL,Input from the lateral part of CEAc,Larry Swanson,"Dong H., Petrovich... - Topography of projections from amygdala... (2001) , pp. 102-246"
Central nucleus of amygdala capsular part (CEAc),"Bed nuclei of the stria terminalis, anterior division, subcommisural zone (BSTsc)",moderate,CTB,Retrogradely labeled neurons were found in the [...] central nucleus of the amygdala (Figs. 4G-L) [...]. Collator note: Atlas 28-30; at least the ventral part contains labeled neurons,Mihail Bota,"Shin J.W., Geerling... - Inputs to the ventrolateral bed nucleus... (2008) , pp. 628-657"
Central nucleus of amygdala capsular part (CEAc),Bed nuclei of the stria terminalis rhomboid nucleus (BSTrh),moderate,PHAL,Input from the ventral part of CEAc,Larry Swanson,"Dong H., Petrovich... - Topography of projections from amygdala... (2001) , pp. 102-246"
Central nucleus of amygdala capsular part (CEAc),Bed nuclei of the stria terminalis anterior division anteroventral area (BSTav),weak,PHAL,Input from the lateral part of CEAc,Larry Swanson,"Dong H., Petrovich... - Topography of projections from amygdala... (2001) , pp. 102-246"
Central nucleus of amygdala capsular part (CEAc),Bed nuclei of the stria terminalis anterior division fusiform nucleus (BSTfu),weak,PHAL,Input from the lateral part of CEAc,Larry Swanson,"Dong H., Petrovich... - Topography of projections from amygdala... (2001) , pp. 102-246"
Central nucleus of amygdala capsular part (CEAc),"Bed nuclei of the stria terminalis, anterior division, subcommisural zone (BSTsc)",strong,PHAL,Input from the ventral part of CEAc,Larry Swanson,"Dong H., Petrovich... - Topography of projections from amygdala... (2001) , pp. 102-246"
Central nucleus of amygdala capsular part (CEAc),Bed nuclei of the stria terminalis anterior division anteroventral area (BSTav),moderate,PHAL,Input from the ventral part of CEAc,Larry Swanson,"Dong H., Petrovich... - Topography of projections from amygdala... (2001) , pp. 102-246"
Central nucleus of amygdala capsular part (CEAc),Bed nuclei of the stria terminalis anterior division dorsomedial nucleus (BSTdm),moderate,PHAL,Input from the ventral part of CEAc,Larry Swanson,"Dong H., Petrovich... - Topography of projections from amygdala... (2001) , pp. 102-246"
Central nucleus of amygdala capsular part (CEAc),Bed nuclei of the stria terminalis anterior division fusiform nucleus (BSTfu),moderate,PHAL,Input from the ventral part of CEAc,Larry Swanson,"Dong H., Petrovich... - Topography of projections from amygdala... (2001) , pp. 102-246"
Central nucleus of amygdala capsular part (CEAc),Bed nuclei of the stria terminalis anterior division magnocellular nucleus (BSTmg),moderate,PHAL,Input from the ventral part of CEAc,Larry Swanson,"Dong H., Petrovich... - Topography of projections from amygdala... (2001) , pp. 102-246"
Central nucleus of amygdala capsular part (CEAc),"Bed nuclei of the stria terminalis, anterior division, subcommisural zone (BSTsc)",moderate,PHAL,Input from the lateral part of CEAc,Larry Swanson,"Dong H., Petrovich... - Topography of projections from amygdala... (2001) , pp. 102-246"
Central nucleus of amygdala capsular part (CEAc),"Bed nuclei of the stria terminalis, anterior division, subcommisural zone (BSTsc)",moderate,CTB,Retrogradely labeled neurons were found in the [...] central nucleus of the amygdala (Figs. 4G-L) [...]. Collator note: Atlas 28-30; at least the ventral part contains labeled neurons,Mihail Bota,"Shin J.W., Geerling... - Inputs to the ventrolateral bed nucleus... (2008) , pp. 628-657"
Central nucleus of amygdala capsular part (CEAc),Bed nuclei of the stria terminalis rhomboid nucleus (BSTrh),moderate,PHAL,Input from the ventral part of CEAc,Larry Swanson,"Dong H., Petrovich... - Topography of projections from amygdala... (2001) , pp. 102-246"
Central nucleus of amygdala capsular part (CEAc),Bed nuclei of the stria terminalis anterior division anteroventral area (BSTav),weak,PHAL,Input from the lateral part of CEAc,Larry Swanson,"Dong H., Petrovich... - Topography of projections from amygdala... (2001) , pp. 102-246"
Central nucleus of amygdala capsular part (CEAc),Bed nuclei of the stria terminalis anterior division fusiform nucleus (BSTfu),weak,PHAL,Input from the lateral part of CEAc,Larry Swanson,"Dong H., Petrovich... - Topography of projections from amygdala... (2001) , pp. 102-246"
Central nucleus of amygdala capsular part (CEAc),"Bed nuclei of the stria terminalis, anterior division, subcommisural zone (BSTsc)",strong,PHAL,Input from the ventral part of CEAc,Larry Swanson,"Dong H., Petrovich... - Topography of projections from amygdala... (2001) , pp. 102-246"
Central nucleus of amygdala capsular part (CEAc),Bed nuclei of the stria terminalis anterior division anteroventral area (BSTav),moderate,PHAL,Input from the ventral part of CEAc,Larry Swanson,"Dong H., Petrovich... - Topography of projections from amygdala... (2001) , pp. 102-246"
Central nucleus of amygdala capsular part (CEAc),Bed nuclei of the stria terminalis anterior division dorsomedial nucleus (BSTdm),moderate,PHAL,Input from the ventral part of CEAc,Larry Swanson,"Dong H., Petrovich... - Topography of projections from amygdala... (2001) , pp. 102-246"
Central nucleus of amygdala capsular part (CEAc),Bed nuclei of the stria terminalis anterior division fusiform nucleus (BSTfu),moderate,PHAL,Input from the ventral part of CEAc,Larry Swanson,"Dong H., Petrovich... - Topography of projections from amygdala... (2001) , pp. 102-246"
Central nucleus of amygdala capsular part (CEAc),Bed nuclei of the stria terminalis anterior division magnocellular nucleus (BSTmg),moderate,PHAL,Input from the ventral part of CEAc,Larry Swanson,"Dong H., Petrovich... - Topography of projections from amygdala... (2001) , pp. 102-246"
Central nucleus of amygdala capsular part (CEAc),"Bed nuclei of the stria terminalis, anterior division, subcommisural zone (BSTsc)",moderate,PHAL,Input from the lateral part of CEAc,Larry Swanson,"Dong H., Petrovich... - Topography of projections from amygdala... (2001) , pp. 102-246"
Central nucleus of amygdala capsular part (CEAc),"Bed nuclei of the stria terminalis, anterior division, subcommisural zone (BSTsc)",moderate,CTB,Retrogradely labeled neurons were found in the [...] central nucleus of the amygdala (Figs. 4G-L) [...]. Collator note: Atlas 28-30; at least the ventral part contains labeled neurons,Mihail Bota,"Shin J.W., Geerling... - Inputs to the ventrolateral bed nucleus... (2008) , pp. 628-657"
Central nucleus of amygdala capsular part (CEAc),Bed nuclei of the stria terminalis rhomboid nucleus (BSTrh),moderate,PHAL,Input from the ventral part of CEAc,Larry Swanson,"Dong H., Petrovich... - Topography of projections from amygdala... (2001) , pp. 102-246"
Central nucleus of amygdala capsular part (CEAc),Bed nuclei of the stria terminalis anterior division anteroventral area (BSTav),weak,PHAL,Input from the lateral part of CEAc,Larry Swanson,"Dong H., Petrovich... - Topography of projections from amygdala... (2001) , pp. 102-246"
Central nucleus of amygdala capsular part (CEAc),Bed nuclei of the stria terminalis anterior division fusiform nucleus (BSTfu),weak,PHAL,Input from the lateral part of CEAc,Larry Swanson,"Dong H., Petrovich... - Topography of projections from amygdala... (2001) , pp. 102-246"
Central nucleus of amygdala capsular part (CEAc),"Bed nuclei of the stria terminalis, anterior division, subcommisural zone (BSTsc)",strong,PHAL,Input from the ventral part of CEAc,Larry Swanson,"Dong H., Petrovich... - Topography of projections from amygdala... (2001) , pp. 102-246"
Central nucleus of amygdala capsular part (CEAc),Bed nuclei of the stria terminalis anterior division anteroventral area (BSTav),moderate,PHAL,Input from the ventral part of CEAc,Larry Swanson,"Dong H., Petrovich... - Topography of projections from amygdala... (2001) , pp. 102-246"
Central nucleus of amygdala capsular part (CEAc),Bed nuclei of the stria terminalis anterior division dorsomedial nucleus (BSTdm),moderate,PHAL,Input from the ventral part of CEAc,Larry Swanson,"Dong H., Petrovich... - Topography of projections from amygdala... (2001) , pp. 102-246"
Central nucleus of amygdala capsular part (CEAc),Bed nuclei of the stria terminalis anterior division fusiform nucleus (BSTfu),moderate,PHAL,Input from the ventral part of CEAc,Larry Swanson,"Dong H., Petrovich... - Topography of projections from amygdala... (2001) , pp. 102-246"
Central nucleus of amygdala capsular part (CEAc),Bed nuclei of the stria terminalis anterior division magnocellular nucleus (BSTmg),moderate,PHAL,Input from the ventral part of CEAc,Larry Swanson,"Dong H., Petrovich... - Topography of projections from amygdala... (2001) , pp. 102-246"
Central nucleus of amygdala capsular part (CEAc),"Bed nuclei of the stria terminalis, anterior division, subcommisural zone (BSTsc)",moderate,PHAL,Input from the lateral part of CEAc,Larry Swanson,"Dong H., Petrovich... - Topography of projections from amygdala... (2001) , pp. 102-246"
Central nucleus of amygdala capsular part (CEAc),"Bed nuclei of the stria terminalis, anterior division, subcommisural zone (BSTsc)",moderate,CTB,Retrogradely labeled neurons were found in the [...] central nucleus of the amygdala (Figs. 4G-L) [...]. Collator note: Atlas 28-30; at least the ventral part contains labeled neurons,Mihail Bota,"Shin J.W., Geerling... - Inputs to the ventrolateral bed nucleus... (2008) , pp. 628-657"
Central nucleus of amygdala capsular part (CEAc),Bed nuclei of the stria terminalis rhomboid nucleus (BSTrh),moderate,PHAL,Input from the ventral part of CEAc,Larry Swanson,"Dong H., Petrovich... - Topography of projections from amygdala... (2001) , pp. 102-246"
Central nucleus of amygdala capsular part (CEAc),Bed nuclei of the stria terminalis anterior division anteroventral area (BSTav),weak,PHAL,Input from the lateral part of CEAc,Larry Swanson,"Dong H., Petrovich... - Topography of projections from amygdala... (2001) , pp. 102-246"
Central nucleus of amygdala capsular part (CEAc),Bed nuclei of the stria terminalis anterior division fusiform nucleus (BSTfu),weak,PHAL,Input from the lateral part of CEAc,Larry Swanson,"Dong H., Petrovich... - Topography of projections from amygdala... (2001) , pp. 102-246"
