From,To,Strength,Technique,Description,Collator,Reference
Orbital area medial part (ORBm),Anterior amygdaloid area (AAA),moderate/strong,PHAL,"Amygdaloid labeling was fairly pronounced and was primarily restricted to the anterior amygdaloid area, the central nucleus (CEA), and parts of the anterior cortical and medial nuclei. Collator note: Fig 3M-P, Swanson Atlas Levels 21-26. Parts of the BLA",Mihail Bota,"Hoover W.B & Vertes... - Projections of the medial orbital and... (2011) , pp. 3766-3801"
Basomedial nucleus of the amygdala anterior part (BMAa),Anterior amygdaloid area (AAA),moderate,PHAL,none provided,Larry Swanson,"Petrovich GD, Risold... - Organization of projections from the... (1996) , pp. 387-420"
Basomedial nucleus of the amygdala posterior part (BMAp),Anterior amygdaloid area (AAA),strong,PHAL,"Unlike the accessory basal nucleus, the oval-shaped portion of the anterior cortical nucleus projected heavily to the anterior amygdaloid area (Table 1).",Mihail Bota,"Savander V., Go... - Intrinsic connections of the rat... (1996) , pp. 291-313"
Endopiriform nucleus dorsal part (EPd),Anterior amygdaloid area (AAA),strong,PHAL,"Collator note: strong labeling in the caudal AAA. See Fig. 5E, Swanson Atlas Levels 24-25.",Mihail Bota,"Behan M. & Haberly... - Intrinsic and efferent connections of... (1999) , pp. 522-548"
Piriform area (PIR),Anterior amygdaloid area (AAA),strong,autoradiography,"Collator note: strong labeling above the COAa, mapped here in BMA and AAA. See Fig.6E, which roughly corresponds to Swanson Atlas Levels 23-25.",Mihail Bota,"Luskin M.B & Price... - The topographic organization of... (1983) , pp. 264-291"
Prelimbic area (PL),Anterior amygdaloid area (AAA),strong,PHAL,"The projection to the central nuclear region, [] was very similar to the pattern seen with rostral IL injections; labeled fibers were observed primarily in the CLC, substantia innominata, and the anterior amygdaloid area []. Collator note: Swanson Atlas LEvels 24-26 (-1.3 - -1.8 mm from bregma).",Mihail Bota,"Mcdonald AJ,... - Projections of the medial and lateral... (1996) , pp. 55-75"
Agranular insular area ventral part (AIv),Anterior amygdaloid area (AAA),moderate/strong,biocytin,"Collator note: clear labeling of the AAA, at leas caudally. See Fig. 15E, Swanson Atlas Levels 24-25 (-1.4 mm from bregma).",Mihail Bota,"Shi C.J & Cassell... - Cortical, thalamic, and amygdaloid... (1998) , pp. 440-468"
Bed nuclei of the stria terminalis posterior division transverse nucleus (BSTtr),Anterior amygdaloid area (AAA),moderate/strong,PHAL,These fibers [ansa penducularis] also provide moderate to dense inputs to the anterior amygdalar area and anterior basomedial nucleus (Fig. 6JO) and a light input to the anterior cortical nucleus (Fig. 6KO).,Mihail Bota,"Dong H.W., Swanson... - Projections from bed nuclei of the stria... (2004) , pp. 396-433"
Infralimbic area (ILA),Anterior amygdaloid area (AAA),moderate/strong,PHAL,"Dense terminal and nonterminal fiber labeling was also observed in the substantia innominata and anterior amygdaloid area (Fig. 3, level - 1.3). Collator note: Swanson Atlas Levels 23-24.",Mihail Bota,"Mcdonald AJ,... - Projections of the medial and lateral... (1996) , pp. 55-75"
Infralimbic area (ILA),Anterior amygdaloid area (AAA),moderate/strong,HRP/WGA,"Anterograde label in the amygdaloid complex was restricted to the ipsilateral anterior amygdaloid area, the deep part of the anterior cortical nucleus (ACN) and the area between the basomedial, central and medial nuclei at all levels (Fig. 5A). Collator note: at least moderate labeling of the caudal AAA. See Fig. 5A, Swanson Atlas Levels 22-23.",Mihail Bota,"Cassell M.D. &... - Topography of projections from the... (1986) , pp. 321-333"
Orbital area medial part (ORBm),Anterior amygdaloid area (AAA),moderate/strong,PHAL,"Amygdaloid labeling was fairly pronounced and was primarily restricted to the anterior amygdaloid area, the central nucleus (CEA), and parts of the anterior cortical and medial nuclei. Collator note: Fig 3M-P, Swanson Atlas Levels 21-26. Parts of the BLA",Mihail Bota,"Hoover W.B & Vertes... - Projections of the medial orbital and... (2011) , pp. 3766-3801"
Basomedial nucleus of the amygdala anterior part (BMAa),Anterior amygdaloid area (AAA),moderate,PHAL,none provided,Larry Swanson,"Petrovich GD, Risold... - Organization of projections from the... (1996) , pp. 387-420"
Basomedial nucleus of the amygdala posterior part (BMAp),Anterior amygdaloid area (AAA),strong,PHAL,"Unlike the accessory basal nucleus, the oval-shaped portion of the anterior cortical nucleus projected heavily to the anterior amygdaloid area (Table 1).",Mihail Bota,"Savander V., Go... - Intrinsic connections of the rat... (1996) , pp. 291-313"
Endopiriform nucleus dorsal part (EPd),Anterior amygdaloid area (AAA),strong,PHAL,"Collator note: strong labeling in the caudal AAA. See Fig. 5E, Swanson Atlas Levels 24-25.",Mihail Bota,"Behan M. & Haberly... - Intrinsic and efferent connections of... (1999) , pp. 522-548"
Piriform area (PIR),Anterior amygdaloid area (AAA),strong,autoradiography,"Collator note: strong labeling above the COAa, mapped here in BMA and AAA. See Fig.6E, which roughly corresponds to Swanson Atlas Levels 23-25.",Mihail Bota,"Luskin M.B & Price... - The topographic organization of... (1983) , pp. 264-291"
Prelimbic area (PL),Anterior amygdaloid area (AAA),strong,PHAL,"The projection to the central nuclear region, [] was very similar to the pattern seen with rostral IL injections; labeled fibers were observed primarily in the CLC, substantia innominata, and the anterior amygdaloid area []. Collator note: Swanson Atlas LEvels 24-26 (-1.3 - -1.8 mm from bregma).",Mihail Bota,"Mcdonald AJ,... - Projections of the medial and lateral... (1996) , pp. 55-75"
Agranular insular area ventral part (AIv),Anterior amygdaloid area (AAA),moderate/strong,biocytin,"Collator note: clear labeling of the AAA, at leas caudally. See Fig. 15E, Swanson Atlas Levels 24-25 (-1.4 mm from bregma).",Mihail Bota,"Shi C.J & Cassell... - Cortical, thalamic, and amygdaloid... (1998) , pp. 440-468"
Bed nuclei of the stria terminalis posterior division transverse nucleus (BSTtr),Anterior amygdaloid area (AAA),moderate/strong,PHAL,These fibers [ansa penducularis] also provide moderate to dense inputs to the anterior amygdalar area and anterior basomedial nucleus (Fig. 6JO) and a light input to the anterior cortical nucleus (Fig. 6KO).,Mihail Bota,"Dong H.W., Swanson... - Projections from bed nuclei of the stria... (2004) , pp. 396-433"
Infralimbic area (ILA),Anterior amygdaloid area (AAA),moderate/strong,PHAL,"Dense terminal and nonterminal fiber labeling was also observed in the substantia innominata and anterior amygdaloid area (Fig. 3, level - 1.3). Collator note: Swanson Atlas Levels 23-24.",Mihail Bota,"Mcdonald AJ,... - Projections of the medial and lateral... (1996) , pp. 55-75"
Infralimbic area (ILA),Anterior amygdaloid area (AAA),moderate/strong,HRP/WGA,"Anterograde label in the amygdaloid complex was restricted to the ipsilateral anterior amygdaloid area, the deep part of the anterior cortical nucleus (ACN) and the area between the basomedial, central and medial nuclei at all levels (Fig. 5A). Collator note: at least moderate labeling of the caudal AAA. See Fig. 5A, Swanson Atlas Levels 22-23.",Mihail Bota,"Cassell M.D. &... - Topography of projections from the... (1986) , pp. 321-333"
Orbital area medial part (ORBm),Anterior amygdaloid area (AAA),moderate/strong,PHAL,"Amygdaloid labeling was fairly pronounced and was primarily restricted to the anterior amygdaloid area, the central nucleus (CEA), and parts of the anterior cortical and medial nuclei. Collator note: Fig 3M-P, Swanson Atlas Levels 21-26. Parts of the BLA",Mihail Bota,"Hoover W.B & Vertes... - Projections of the medial orbital and... (2011) , pp. 3766-3801"
Basomedial nucleus of the amygdala anterior part (BMAa),Anterior amygdaloid area (AAA),moderate,PHAL,none provided,Larry Swanson,"Petrovich GD, Risold... - Organization of projections from the... (1996) , pp. 387-420"
Basomedial nucleus of the amygdala posterior part (BMAp),Anterior amygdaloid area (AAA),strong,PHAL,"Unlike the accessory basal nucleus, the oval-shaped portion of the anterior cortical nucleus projected heavily to the anterior amygdaloid area (Table 1).",Mihail Bota,"Savander V., Go... - Intrinsic connections of the rat... (1996) , pp. 291-313"
Endopiriform nucleus dorsal part (EPd),Anterior amygdaloid area (AAA),strong,PHAL,"Collator note: strong labeling in the caudal AAA. See Fig. 5E, Swanson Atlas Levels 24-25.",Mihail Bota,"Behan M. & Haberly... - Intrinsic and efferent connections of... (1999) , pp. 522-548"
Piriform area (PIR),Anterior amygdaloid area (AAA),strong,autoradiography,"Collator note: strong labeling above the COAa, mapped here in BMA and AAA. See Fig.6E, which roughly corresponds to Swanson Atlas Levels 23-25.",Mihail Bota,"Luskin M.B & Price... - The topographic organization of... (1983) , pp. 264-291"
Prelimbic area (PL),Anterior amygdaloid area (AAA),strong,PHAL,"The projection to the central nuclear region, [] was very similar to the pattern seen with rostral IL injections; labeled fibers were observed primarily in the CLC, substantia innominata, and the anterior amygdaloid area []. Collator note: Swanson Atlas LEvels 24-26 (-1.3 - -1.8 mm from bregma).",Mihail Bota,"Mcdonald AJ,... - Projections of the medial and lateral... (1996) , pp. 55-75"
Agranular insular area ventral part (AIv),Anterior amygdaloid area (AAA),moderate/strong,biocytin,"Collator note: clear labeling of the AAA, at leas caudally. See Fig. 15E, Swanson Atlas Levels 24-25 (-1.4 mm from bregma).",Mihail Bota,"Shi C.J & Cassell... - Cortical, thalamic, and amygdaloid... (1998) , pp. 440-468"
Bed nuclei of the stria terminalis posterior division transverse nucleus (BSTtr),Anterior amygdaloid area (AAA),moderate/strong,PHAL,These fibers [ansa penducularis] also provide moderate to dense inputs to the anterior amygdalar area and anterior basomedial nucleus (Fig. 6JO) and a light input to the anterior cortical nucleus (Fig. 6KO).,Mihail Bota,"Dong H.W., Swanson... - Projections from bed nuclei of the stria... (2004) , pp. 396-433"
Infralimbic area (ILA),Anterior amygdaloid area (AAA),moderate/strong,PHAL,"Dense terminal and nonterminal fiber labeling was also observed in the substantia innominata and anterior amygdaloid area (Fig. 3, level - 1.3). Collator note: Swanson Atlas Levels 23-24.",Mihail Bota,"Mcdonald AJ,... - Projections of the medial and lateral... (1996) , pp. 55-75"
Infralimbic area (ILA),Anterior amygdaloid area (AAA),moderate/strong,HRP/WGA,"Anterograde label in the amygdaloid complex was restricted to the ipsilateral anterior amygdaloid area, the deep part of the anterior cortical nucleus (ACN) and the area between the basomedial, central and medial nuclei at all levels (Fig. 5A). Collator note: at least moderate labeling of the caudal AAA. See Fig. 5A, Swanson Atlas Levels 22-23.",Mihail Bota,"Cassell M.D. &... - Topography of projections from the... (1986) , pp. 321-333"
Orbital area medial part (ORBm),Anterior amygdaloid area (AAA),moderate/strong,PHAL,"Amygdaloid labeling was fairly pronounced and was primarily restricted to the anterior amygdaloid area, the central nucleus (CEA), and parts of the anterior cortical and medial nuclei. Collator note: Fig 3M-P, Swanson Atlas Levels 21-26. Parts of the BLA",Mihail Bota,"Hoover W.B & Vertes... - Projections of the medial orbital and... (2011) , pp. 3766-3801"
Basomedial nucleus of the amygdala anterior part (BMAa),Anterior amygdaloid area (AAA),moderate,PHAL,none provided,Larry Swanson,"Petrovich GD, Risold... - Organization of projections from the... (1996) , pp. 387-420"
Basomedial nucleus of the amygdala posterior part (BMAp),Anterior amygdaloid area (AAA),strong,PHAL,"Unlike the accessory basal nucleus, the oval-shaped portion of the anterior cortical nucleus projected heavily to the anterior amygdaloid area (Table 1).",Mihail Bota,"Savander V., Go... - Intrinsic connections of the rat... (1996) , pp. 291-313"
Endopiriform nucleus dorsal part (EPd),Anterior amygdaloid area (AAA),strong,PHAL,"Collator note: strong labeling in the caudal AAA. See Fig. 5E, Swanson Atlas Levels 24-25.",Mihail Bota,"Behan M. & Haberly... - Intrinsic and efferent connections of... (1999) , pp. 522-548"
Piriform area (PIR),Anterior amygdaloid area (AAA),strong,autoradiography,"Collator note: strong labeling above the COAa, mapped here in BMA and AAA. See Fig.6E, which roughly corresponds to Swanson Atlas Levels 23-25.",Mihail Bota,"Luskin M.B & Price... - The topographic organization of... (1983) , pp. 264-291"
Prelimbic area (PL),Anterior amygdaloid area (AAA),strong,PHAL,"The projection to the central nuclear region, [] was very similar to the pattern seen with rostral IL injections; labeled fibers were observed primarily in the CLC, substantia innominata, and the anterior amygdaloid area []. Collator note: Swanson Atlas LEvels 24-26 (-1.3 - -1.8 mm from bregma).",Mihail Bota,"Mcdonald AJ,... - Projections of the medial and lateral... (1996) , pp. 55-75"
Agranular insular area ventral part (AIv),Anterior amygdaloid area (AAA),moderate/strong,biocytin,"Collator note: clear labeling of the AAA, at leas caudally. See Fig. 15E, Swanson Atlas Levels 24-25 (-1.4 mm from bregma).",Mihail Bota,"Shi C.J & Cassell... - Cortical, thalamic, and amygdaloid... (1998) , pp. 440-468"
Bed nuclei of the stria terminalis posterior division transverse nucleus (BSTtr),Anterior amygdaloid area (AAA),moderate/strong,PHAL,These fibers [ansa penducularis] also provide moderate to dense inputs to the anterior amygdalar area and anterior basomedial nucleus (Fig. 6JO) and a light input to the anterior cortical nucleus (Fig. 6KO).,Mihail Bota,"Dong H.W., Swanson... - Projections from bed nuclei of the stria... (2004) , pp. 396-433"
Infralimbic area (ILA),Anterior amygdaloid area (AAA),moderate/strong,PHAL,"Dense terminal and nonterminal fiber labeling was also observed in the substantia innominata and anterior amygdaloid area (Fig. 3, level - 1.3). Collator note: Swanson Atlas Levels 23-24.",Mihail Bota,"Mcdonald AJ,... - Projections of the medial and lateral... (1996) , pp. 55-75"
Infralimbic area (ILA),Anterior amygdaloid area (AAA),moderate/strong,HRP/WGA,"Anterograde label in the amygdaloid complex was restricted to the ipsilateral anterior amygdaloid area, the deep part of the anterior cortical nucleus (ACN) and the area between the basomedial, central and medial nuclei at all levels (Fig. 5A). Collator note: at least moderate labeling of the caudal AAA. See Fig. 5A, Swanson Atlas Levels 22-23.",Mihail Bota,"Cassell M.D. &... - Topography of projections from the... (1986) , pp. 321-333"
Orbital area medial part (ORBm),Anterior amygdaloid area (AAA),moderate/strong,PHAL,"Amygdaloid labeling was fairly pronounced and was primarily restricted to the anterior amygdaloid area, the central nucleus (CEA), and parts of the anterior cortical and medial nuclei. Collator note: Fig 3M-P, Swanson Atlas Levels 21-26. Parts of the BLA",Mihail Bota,"Hoover W.B & Vertes... - Projections of the medial orbital and... (2011) , pp. 3766-3801"
Basomedial nucleus of the amygdala anterior part (BMAa),Anterior amygdaloid area (AAA),moderate,PHAL,none provided,Larry Swanson,"Petrovich GD, Risold... - Organization of projections from the... (1996) , pp. 387-420"
Basomedial nucleus of the amygdala posterior part (BMAp),Anterior amygdaloid area (AAA),strong,PHAL,"Unlike the accessory basal nucleus, the oval-shaped portion of the anterior cortical nucleus projected heavily to the anterior amygdaloid area (Table 1).",Mihail Bota,"Savander V., Go... - Intrinsic connections of the rat... (1996) , pp. 291-313"
Endopiriform nucleus dorsal part (EPd),Anterior amygdaloid area (AAA),strong,PHAL,"Collator note: strong labeling in the caudal AAA. See Fig. 5E, Swanson Atlas Levels 24-25.",Mihail Bota,"Behan M. & Haberly... - Intrinsic and efferent connections of... (1999) , pp. 522-548"
Piriform area (PIR),Anterior amygdaloid area (AAA),strong,autoradiography,"Collator note: strong labeling above the COAa, mapped here in BMA and AAA. See Fig.6E, which roughly corresponds to Swanson Atlas Levels 23-25.",Mihail Bota,"Luskin M.B & Price... - The topographic organization of... (1983) , pp. 264-291"
